	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G004	Kohl-LQ-Groundhog-KPM-G005	Kohl-LQ-Groundhog-KPM-G006	Kohl-LQ-Groundhog-KPM-G007	Kohl-LQ-Groundhog-KPM-G008	Kohl-LQ-Groundhog-KPM-G009	Kohl-LQ-Groundhog-KPM-G010	Kohl-LQ-Groundhog-KPM-G011	Kohl-LQ-Groundhog-KPM-G021	Kohl-LQ-Groundhog-KPM-G022	Kohl-LQ-Groundhog-KPM-G023	Kohl-LQ-Groundhog-KPM-G025	Kohl-LQ-Groundhog-KPM-G026	Kohl-LQ-Groundhog-KPM-G027	Kohl-LQ-Groundhog-KPM-G028	Kohl-LQ-Groundhog-KPM-G029	Kohl-LQ-Groundhog-KPM-G039	Kohl-LQ-Groundhog-KPM-G040	Kohl-LQ-Groundhog-KPM-G041	Kohl-LQ-Groundhog-KPM-G042	Kohl-LQ-Groundhog-KPM-G043	Kohl-LQ-Groundhog-KPM-G044	Kohl-LQ-Groundhog-KPM-G045	Kohl-LQ-Groundhog-KPM-G046	Kohl-LQ-Groundhog-KPM-G047	Kohl-LQ-Groundhog-KPM-G057	Kohl-LQ-Groundhog-KPM-G058	Kohl-LQ-Groundhog-KPM-G059	Kohl-LQ-Groundhog-KPM-G060	Kohl-LQ-Groundhog-KPM-G061	Kohl-LQ-Groundhog-KPM-G062	Kohl-LQ-Groundhog-KPM-G063	Kohl-LQ-Groundhog-KPM-G064	Kohl-LQ-Groundhog-KPM-G065	Kohl-LQ-Groundhog-KPM-G075	Kohl-LQ-Groundhog-KPM-G076	Kohl-LQ-Groundhog-KPM-G077	Kohl-LQ-Groundhog-KPM-G078	Kohl-LQ-Groundhog-KPM-G079	Kohl-LQ-Groundhog-KPM-G080	Kohl-LQ-Groundhog-KPM-G081	Kohl-LQ-Groundhog-KPM-G082	Kohl-LQ-Groundhog-KPM-G083	Kohl-LQ-Groundhog-KPM-G093	Kohl-LQ-Groundhog-KPM-G094	Kohl-LQ-Groundhog-KPM-G095	Kohl-LQ-Groundhog-KPM-G096	Kohl-LQ-Groundhog-KPM-G097	Kohl-LQ-Groundhog-KPM-G098	Kohl-LQ-Groundhog-KPM-G099	Kohl-LQ-Groundhog-KPM-G100	Kohl-LQ-Groundhog-KPM-G101
Kohl-LQ-Groundhog-KPM-G045	0.8034726	0.818818133	0.601354458	0.52684305	0.547551608	0.58419358	0.619767053	0.586465935	0.34643186	0.588472747	0.651875781	0.572238919	0.674752563	0.558083662	0.58397148	0.608667714	0.606639538	0.653801583	0.622006126	0.592051546	0.471875797	0.503055638	0.86137743	0.555707632	0	0.537675061	0.503893561	0.485027171	0.50513769	0.550328199	0.804823813	0.814179374	0.635572978	0.430366787	0.705712355	0.826790284	0.487411304	0.508782484	0.573944536	0.687110257	0.522273347	0.618581407	0.80766634	0.815693722	0.8380103	0.53710945	0.542516101	0.46107946	0.469451056	0.401034337	0.593259513	0.82543811	0.840772599	0.826731223
Kohl-LQ-Groundhog-KPM-G046	0.8480801	0.834675931	0.645419115	0.579304821	0.554732598	0.683023337	0.624802716	0.747076545	0.42654193	0.626947311	0.622377413	0.661670919	0.73467014	0.658148183	0.634403344	0.626000575	0.66682539	0.72673068	0.728043132	0.615509823	0.62877178	0.620959654	0.828694947	0.595996408	0.537675061	0	0.54685552	0.479147784	0.664099281	0.672878166	0.820944343	0.838189566	0.659547254	0.54118324	0.717708764	0.841745408	0.643913437	0.696704154	0.669595859	0.755545704	0.575828218	0.669889234	0.833077488	0.838589975	0.853658852	0.698463682	0.58943109	0.535797559	0.648895288	0.584288394	0.739984209	0.845905604	0.862331616	0.855636761
Kohl-LQ-Groundhog-KPM-G047	0.810245465	0.797611996	0.611232138	0.545922945	0.539493436	0.59842125	0.623248814	0.616823311	0.37534102	0.568644714	0.487887534	0.564324412	0.603392684	0.64279524	0.577061984	0.588703999	0.589768374	0.661122706	0.659828947	0.587754968	0.538439726	0.559030219	0.840504209	0.547456691	0.503893561	0.54685552	0	0.54673742	0.585255239	0.595347305	0.789144614	0.791236225	0.629677388	0.563662098	0.773489597	0.805023356	0.583517377	0.564170667	0.491853109	0.718787121	0.637046009	0.601314709	0.791494234	0.792754924	0.825242546	0.598037798	0.624679	0.477338052	0.591201159	0.515448503	0.662012623	0.810863432	0.822604612	0.813421658
Kohl-LQ-Groundhog-KPM-G057	0.858072536	0.869430435	0.616635897	0.501190953	0.515435245	0.470264181	0.490678385	0.631417766	0.495974441	0.473481644	0.59296045	0.467327186	0.614613159	0.552108682	0.544092895	0.438747604	0.589624709	0.640924722	0.628816163	0.548725389	0.591818583	0.497137633	0.82850628	0.460462718	0.485027171	0.479147784	0.54673742	0	0.564155026	0.591666462	0.85949165	0.866810745	0.465282326	0.479600573	0.56692861	0.876902757	0.559457476	0.592537533	0.528095761	0.725046406	0.577433191	0.591815579	0.872646967	0.868338472	0.883035588	0.537332779	0.560894181	0.483448913	0.610087628	0.369158616	0.709227063	0.880597464	0.884371598	0.878726044
Kohl-LQ-Groundhog-KPM-G058	0.810914206	0.837532958	0.377302707	0.455921523	0.491197726	0.546315723	0.652905459	0.32349823	0.571598342	0.612619867	0.583630506	0.597327104	0.646997479	0.572145617	0.585202796	0.643386471	0.567965472	0.395647786	0.272219348	0.467629922	0.454819789	0.535672148	0.743509782	0.538256424	0.50513769	0.664099281	0.585255239	0.564155026	0	0.378486598	0.825112934	0.833662081	0.589374758	0.638153597	0.751678372	0.845274912	0.355653	0.478217986	0.463511398	0.378023994	0.479709899	0.443224448	0.834552865	0.834732649	0.858014027	0.473410281	0.451593194	0.549805525	0.435531706	0.495407171	0.35677701	0.849475322	0.855165483	0.845067709
Kohl-LQ-Groundhog-KPM-G059	0.763846669	0.807030697	0.465496688	0.492677384	0.537974809	0.621392961	0.651922854	0.455977457	0.622366482	0.63320501	0.61464133	0.592431294	0.693379594	0.604621807	0.602551898	0.62516266	0.599047018	0.437990988	0.352332597	0.557514481	0.562400336	0.629709375	0.76349171	0.585702583	0.550328199	0.672878166	0.595347305	0.591666462	0.378486598	0	0.793359476	0.803465745	0.641220126	0.64500366	0.730553275	0.815029707	0.513128779	0.497270476	0.520473536	0.491980152	0.499568259	0.510947405	0.80392266	0.803030856	0.831666579	0.586008651	0.459532127	0.652794357	0.572903033	0.607528297	0.41376541	0.821424914	0.830971355	0.819745369
Kohl-LQ-Groundhog-KPM-G060	0.483108529	0.274420931	0.82227864	0.859357338	0.839351434	0.883405882	0.862640248	0.828310449	0.799209642	0.824253745	0.843307556	0.877545672	0.821014461	0.827884899	0.831058001	0.880190515	0.865693013	0.841177429	0.848616109	0.881161806	0.847783293	0.8251498	0.912914575	0.833612713	0.804823813	0.820944343	0.789144614	0.85949165	0.825112934	0.793359476	0	0.267494327	0.90497103	0.857492484	0.939358419	0.271092698	0.863155393	0.853428883	0.852524111	0.868677172	0.786781022	0.766272693	0.219425155	0.29419629	0.345561548	0.831216322	0.739603708	0.819693736	0.840225566	0.865685811	0.802608837	0.294311393	0.442807363	0.359420557
Kohl-LQ-Groundhog-KPM-G061	0.456065711	0.237082985	0.814698915	0.867590491	0.830789699	0.889771979	0.869770361	0.829604432	0.808380834	0.830944414	0.85550267	0.880653479	0.822093921	0.840442169	0.835705184	0.886643376	0.854631629	0.832454335	0.856259477	0.887576867	0.84757458	0.83442919	0.922744993	0.841848537	0.814179374	0.838189566	0.791236225	0.866810745	0.833662081	0.803465745	0.267494327	0	0.91051931	0.865064902	0.93761661	0.240202979	0.854980327	0.861767029	0.858855129	0.875497758	0.801283168	0.775263923	0.240294175	0.237818652	0.315856282	0.839613691	0.756768167	0.828532762	0.83365118	0.871450132	0.796396221	0.32857445	0.400824448	0.375825673
Kohl-LQ-Groundhog-KPM-G062	0.901250198	0.911434664	0.639403455	0.470373554	0.576040697	0.375441404	0.57688232	0.59356808	0.612360852	0.524236957	0.565003094	0.396826977	0.579733425	0.581107517	0.452445488	0.314921071	0.529316991	0.611457172	0.549083345	0.396259963	0.533374076	0.488265458	0.785520184	0.461411888	0.635572978	0.659547254	0.629677388	0.465282326	0.589374758	0.641220126	0.90497103	0.91051931	0	0.597455287	0.610986711	0.918419342	0.594663281	0.535356602	0.580235059	0.735125596	0.670162342	0.591409998	0.91384435	0.912042599	0.920280059	0.491015881	0.679998513	0.492251063	0.61475441	0.469333852	0.669755588	0.920856597	0.91810505	0.915312837
Kohl-LQ-Groundhog-KPM-G063	0.853629343	0.869125366	0.673632265	0.554475081	0.622428086	0.546172024	0.465789188	0.624501372	0.489398923	0.594908657	0.675371017	0.585618599	0.646459025	0.559447723	0.503145334	0.435738563	0.686690578	0.69409702	0.699399603	0.604982601	0.639506734	0.513968412	0.83414037	0.474607007	0.430366787	0.54118324	0.563662098	0.479600573	0.638153597	0.64500366	0.857492484	0.865064902	0.597455287	0	0.61182258	0.876051913	0.632786019	0.668456511	0.649159164	0.778875508	0.488774846	0.593636988	0.8679358	0.866365826	0.882053851	0.524691911	0.610258107	0.530267007	0.658188972	0.548047671	0.67189477	0.878714366	0.883238451	0.87756827
Kohl-LQ-Groundhog-KPM-G064	0.935882666	0.943254643	0.795490686	0.715046769	0.748110079	0.620681696	0.678602349	0.768727057	0.702682521	0.726330542	0.729763662	0.681363436	0.775444672	0.774900164	0.732833342	0.645136021	0.722682226	0.794323376	0.738879328	0.661564243	0.727377011	0.761728374	0.82521326	0.7259031	0.705712355	0.717708764	0.773489597	0.56692861	0.751678372	0.730553275	0.939358419	0.93761661	0.610986711	0.61182258	0	0.944263426	0.742854886	0.715485703	0.747121786	0.725331694	0.730416175	0.794411128	0.941688647	0.939160426	0.948398837	0.71436993	0.801325808	0.730856879	0.767398067	0.672657348	0.811330477	0.94594721	0.948838807	0.946340495
Kohl-LQ-Groundhog-KPM-G065	0.478373612	0.221633669	0.841758268	0.876503883	0.856045494	0.898022779	0.879626721	0.840777792	0.821357246	0.842821858	0.857580776	0.888648614	0.830158889	0.846911908	0.848405249	0.895660951	0.876864297	0.858478024	0.866750791	0.896547602	0.858541619	0.845851624	0.919986762	0.853073601	0.826790284	0.841745408	0.805023356	0.876902757	0.845274912	0.815029707	0.271092698	0.240202979	0.918419342	0.876051913	0.944263426	0	0.879758333	0.871982428	0.868737741	0.884968244	0.810344494	0.789793968	0.263941082	0.227595263	0.300748705	0.850346351	0.767101667	0.840504568	0.859182466	0.881300266	0.824025618	0.296498263	0.395194775	0.331421347
Kohl-LQ-Groundhog-KPM-G075	0.822524174	0.872534562	0.444875222	0.429853211	0.355253867	0.548955285	0.657913126	0.537423385	0.563574846	0.618562652	0.576864074	0.603660573	0.670968823	0.557790174	0.587015972	0.633998104	0.46829785	0.462379793	0.447628033	0.436573504	0.402001454	0.538600545	0.84058679	0.558499464	0.487411304	0.643913437	0.583517377	0.559457476	0.355653	0.513128779	0.863155393	0.854980327	0.594663281	0.632786019	0.742854886	0.879758333	0	0.385556519	0.428025257	0.513185443	0.623606408	0.632084969	0.871300714	0.871597777	0.884008432	0.483519447	0.603570197	0.553805785	0.208933796	0.50461664	0.374777015	0.883266069	0.885617068	0.877237018
Kohl-LQ-Groundhog-KPM-G076	0.838680536	0.864548422	0.567526783	0.442129346	0.538706707	0.526968881	0.636065796	0.558295328	0.606574977	0.625000102	0.570662706	0.56092417	0.588247734	0.588681691	0.609065192	0.588568222	0.460991596	0.555601314	0.42879017	0.406697676	0.338489926	0.552194713	0.832637293	0.587068297	0.508782484	0.696704154	0.564170667	0.592537533	0.478217986	0.497270476	0.853428883	0.861767029	0.535356602	0.668456511	0.715485703	0.871982428	0.385556519	0	0.512395647	0.55664032	0.678468435	0.666803159	0.864598638	0.863274944	0.878548423	0.5142092	0.650564577	0.59806693	0.425301431	0.473200366	0.462779622	0.875241481	0.880196006	0.871232914
Kohl-LQ-Groundhog-KPM-G077	0.826069277	0.861730154	0.535478981	0.430895317	0.43957918	0.533813035	0.579796166	0.61326081	0.574655846	0.546969592	0.513993407	0.525922306	0.602628813	0.622903641	0.510928256	0.611764952	0.542451725	0.513687494	0.519779316	0.462213103	0.516577512	0.550511167	0.849822164	0.541503866	0.573944536	0.669595859	0.491853109	0.528095761	0.463511398	0.520473536	0.852524111	0.858855129	0.580235059	0.649159164	0.747121786	0.868737741	0.428025257	0.512395647	0	0.609247975	0.700520635	0.588972715	0.863009144	0.86130062	0.877486123	0.565861335	0.628457912	0.568367322	0.486337263	0.466884617	0.579656455	0.875073432	0.872106387	0.864494797
Kohl-LQ-Groundhog-KPM-G078	0.850728487	0.87773344	0.520926738	0.628491708	0.626170349	0.716462687	0.752145623	0.550078668	0.736592278	0.781505803	0.739135944	0.75441899	0.788756228	0.735485692	0.749401904	0.755476212	0.690244961	0.479295118	0.360753897	0.628486833	0.565641987	0.720793247	0.75360432	0.739342972	0.687110257	0.755545704	0.718787121	0.725046406	0.378023994	0.491980152	0.868677172	0.875497758	0.735125596	0.778875508	0.725331694	0.884968244	0.513185443	0.55664032	0.609247975	0	0.577130084	0.631412401	0.87864273	0.87699399	0.893082626	0.690831522	0.614274949	0.72148727	0.545724445	0.676237327	0.477240204	0.888353803	0.890205326	0.881987894
Kohl-LQ-Groundhog-KPM-G079	0.787069883	0.803008704	0.533313626	0.642579393	0.63427441	0.724068006	0.643748875	0.465320549	0.592377892	0.691170088	0.746174578	0.718380814	0.733670822	0.494799309	0.569212662	0.552096532	0.740749873	0.56577291	0.512874981	0.662897833	0.589982023	0.546206755	0.764758149	0.563514242	0.522273347	0.575828218	0.637046009	0.577433191	0.479709899	0.499568259	0.786781022	0.801283168	0.670162342	0.488774846	0.730416175	0.810344494	0.623606408	0.678468435	0.700520635	0.577130084	0	0.455891586	0.799918825	0.800964642	0.829362255	0.552028779	0.322618196	0.627128345	0.614248931	0.666231589	0.550869074	0.816018242	0.828195742	0.819845835
Kohl-LQ-Groundhog-KPM-G080	0.761019419	0.781412531	0.485319662	0.520029982	0.52621528	0.592943542	0.519033447	0.436994812	0.610693334	0.505940639	0.679044006	0.556984735	0.616440785	0.514781221	0.3551847	0.502503933	0.645635222	0.557080537	0.520077456	0.582204273	0.593638294	0.378835648	0.761832031	0.378762138	0.618581407	0.669889234	0.601314709	0.591815579	0.443224448	0.510947405	0.766272693	0.775263923	0.591409998	0.593636988	0.794411128	0.789793968	0.632084969	0.666803159	0.588972715	0.631412401	0.455891586	0	0.775110453	0.777239854	0.808792612	0.466598104	0.371471088	0.581863232	0.631146224	0.575476134	0.513631954	0.796072364	0.807324742	0.797949845
Kohl-LQ-Groundhog-KPM-G081	0.495182484	0.277707463	0.830119441	0.869064166	0.849175297	0.891648459	0.871838193	0.829633223	0.809082935	0.832231627	0.852903357	0.884861918	0.823146262	0.839212547	0.839740154	0.889337129	0.878935494	0.851648408	0.858516452	0.89062585	0.849623035	0.835798618	0.921345506	0.84229734	0.80766634	0.833077488	0.791494234	0.872646967	0.834552865	0.80392266	0.219425155	0.240294175	0.91384435	0.8679358	0.941688647	0.263941082	0.871300714	0.864598638	0.863009144	0.87864273	0.799918825	0.775110453	0	0.281029866	0.349042253	0.840367865	0.748320239	0.829754811	0.84867058	0.875109039	0.810982784	0.263966079	0.441048695	0.370755853
Kohl-LQ-Groundhog-KPM-G082	0.485105023	0.234614905	0.831315471	0.867637833	0.846259152	0.891292676	0.871283805	0.830899136	0.809904809	0.832471887	0.857000388	0.882179572	0.823388335	0.840191013	0.839873466	0.888155463	0.874046431	0.850661197	0.857338224	0.88867038	0.848435901	0.834830179	0.92262706	0.842923985	0.815693722	0.838589975	0.792754924	0.868338472	0.834732649	0.803030856	0.29419629	0.237818652	0.912042599	0.866365826	0.939160426	0.227595263	0.871597777	0.863274944	0.86130062	0.87699399	0.800964642	0.777239854	0.281029866	0	0.290183081	0.84113844	0.756378947	0.830056752	0.84954157	0.872976048	0.813231053	0.345905722	0.407969317	0.356396285
Kohl-LQ-Groundhog-KPM-G083	0.514048125	0.310299943	0.854748599	0.882231836	0.863749908	0.901969194	0.88543232	0.860365128	0.833386467	0.852468099	0.86941133	0.894823317	0.85139139	0.858039667	0.857459123	0.899826932	0.885230949	0.871279278	0.877228683	0.900269077	0.872401858	0.854770151	0.927998364	0.861220705	0.8380103	0.853658852	0.825242546	0.883035588	0.858014027	0.831666579	0.345561548	0.315856282	0.920280059	0.882053851	0.948398837	0.300748705	0.884008432	0.878548423	0.877486123	0.893082626	0.829362255	0.808792612	0.349042253	0.290183081	0	0.859206814	0.790726772	0.850370896	0.86658391	0.888068128	0.838548898	0.290006604	0.364017078	0.295365711
