	Kohl-Grounhog-KPM-R010	Kohl-Grounhog-KPM-R011	Kohl-Grounhog-KPM-R012	Kohl-Grounhog-KPM-R013	Kohl-Grounhog-KPM-R014	Kohl-Grounhog-KPM-R015	Kohl-Grounhog-KPM-R022	Kohl-Grounhog-KPM-R023	Kohl-Grounhog-KPM-R024	Kohl-Grounhog-KPM-R025	Kohl-Grounhog-KPM-R026	Kohl-Grounhog-KPM-R027	Kohl-Grounhog-KPM-R028	Kohl-Grounhog-KPM-R029	Kohl-Grounhog-KPM-R030	Kohl-Grounhog-KPM-R031	Kohl-Grounhog-KPM-R032	Kohl-Grounhog-KPM-R033	Kohl-Grounhog-KPM-R034	Kohl-Grounhog-KPM-R035	Kohl-Grounhog-KPM-R036	Kohl-Grounhog-KPM-R037	Kohl-Grounhog-KPM-R048	Kohl-Grounhog-KPM-R049	Kohl-Grounhog-KPM-R050	Kohl-Grounhog-KPM-R051	Kohl-Grounhog-KPM-R052	Kohl-Grounhog-KPM-R053	Kohl-Grounhog-KPM-R054	Kohl-Grounhog-KPM-R055	Kohl-Grounhog-KPM-R056	Kohl-Grounhog-KPM-R057	Kohl-Grounhog-KPM-R058	Kohl-Grounhog-KPM-R059	Kohl-Grounhog-KPM-R060	Kohl-Grounhog-KPM-R061	Kohl-Grounhog-KPM-R068	Kohl-Grounhog-KPM-R069	Kohl-Grounhog-KPM-R070	Kohl-Grounhog-KPM-R071	Kohl-Grounhog-KPM-R072	Kohl-Grounhog-KPM-R082	Kohl-Grounhog-KPM-R083	Kohl-Grounhog-KPM-R084	Kohl-Grounhog-KPM-R085	Kohl-Grounhog-KPM-R098	Kohl-Grounhog-KPM-R099	Kohl-Grounhog-KPM-R100	Kohl-Grounhog-KPM-R101	Kohl-Grounhog-KPM-R102	Kohl-Grounhog-KPM-R103	Kohl-Grounhog-KPM-R104	Kohl-Grounhog-KPM-R109	Kohl-Grounhog-KPM-R110	Kohl-Grounhog-KPM-R111	Kohl-Grounhog-KPM-R112	Kohl-Grounhog-KPM-R113	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R036	0.623905694	0.664944049	0.32275219	0.63967098	0.540888179	0.329160113	0.429385757	0.375814942	0.756179633	0.679794499	0.542417147	0.437801229	0.152917865	0.469366513	0.443730051	0.446046698	0.413684822	0.441873809	0.4460467	0.443654108	0	0.048621457	0.580905448	0.426817712	0.484613176	0.431731764	0.067326724	0.448690504	0.012052805	0.304183303	0.489800773	0.241795335	0.515880392	0.467861984	0.449639263	0.19226701	0.528400295	0.47841915	0.460388646	0.563821477	0.56963925	0.552977183	0.254007986	0.357967788	0.521971217	0.468388633	0.46969504	0.258405489	0.599724735	0.598999117	0.570736412	0.598049444	0.474410267	0.593981233	0.576100693	0.621287872	0.66785481	0.942152609	0.949363559
Kohl-Grounhog-KPM-R037	0.633762454	0.673210478	0.350780932	0.64872865	0.555861186	0.35959737	0.449111123	0.40458651	0.760400083	0.690127037	0.553873809	0.455706758	0.194104232	0.452370589	0.427091365	0.429219136	0.432734459	0.425253998	0.429219138	0.42744715	0.048621457	0	0.590344802	0.410282022	0.468554051	0.41490885	0.112674657	0.431917777	0.060088237	0.330940735	0.473911869	0.273351207	0.498564012	0.450893415	0.467310733	0.231540165	0.543648086	0.462920792	0.47806198	0.578068932	0.581653468	0.567184255	0.288389789	0.38756557	0.536414662	0.485550154	0.486773673	0.293925277	0.609387019	0.610854259	0.584767529	0.608720299	0.491712748	0.605735765	0.588460392	0.631375286	0.676029707	0.938912233	0.949513565
Kohl-Grounhog-KPM-R048	0.420522509	0.553801788	0.656105897	0.533057385	0.644290492	0.675474085	0.591079109	0.700624696	0.439849996	0.527691178	0.254510512	0.356267048	0.632602576	0.389224539	0.374738695	0.369925532	0.343877712	0.378915106	0.369925533	0.365777859	0.580905448	0.590344802	0	0.343820456	0.394524528	0.37546509	0.567785378	0.36759827	0.578615552	0.54186345	0.394957931	0.610454457	0.413114225	0.378036403	0.357027258	0.625880427	0.419794961	0.394144478	0.383586158	0.455723272	0.472585062	0.462186275	0.642177898	0.692084921	0.432337443	0.39003743	0.378306489	0.645680371	0.455800279	0.489578901	0.463547167	0.443102842	0.412921061	0.429091092	0.416861509	0.462626801	0.50890231	0.899821458	0.909339456
Kohl-Grounhog-KPM-R049	0.357753615	0.424796263	0.53792275	0.395495804	0.663313643	0.556509107	0.588362063	0.589674705	0.578334621	0.346876134	0.301223199	0.113081445	0.49515091	0.068333867	0.050937024	0.038908682	0.092187006	0.058503618	0.038908685	0.04406293	0.426817712	0.410282022	0.343820456	0	0.094271488	0.048910579	0.401990645	0.035890068	0.422525801	0.511340218	0.097974986	0.475307711	0.101963152	0.049585888	0.110625892	0.482370579	0.197228552	0.104205494	0.14665448	0.246938947	0.29994187	0.263622922	0.50957895	0.577960599	0.23114053	0.158968699	0.140775858	0.519255147	0.352683189	0.312587017	0.258180358	0.326038408	0.189952274	0.297033715	0.280370859	0.350775836	0.417494246	0.902958185	0.919070141
Kohl-Grounhog-KPM-R050	0.407949128	0.441904932	0.583503123	0.441612113	0.696097502	0.603871292	0.626165704	0.593756921	0.587252094	0.372353293	0.351605243	0.147239013	0.54972936	0.10449561	0.087405968	0.087549844	0.138541439	0.105339927	0.087549847	0.13223238	0.484613176	0.468554051	0.394524528	0.094271488	0	0.089433517	0.46368401	0.080964217	0.480987326	0.439473579	0.020045459	0.501868405	0.185540033	0.090441205	0.156113514	0.539042746	0.268467233	0.177163147	0.221103774	0.315159816	0.355909595	0.328456606	0.560184485	0.624555031	0.295356447	0.231669287	0.215162001	0.570547858	0.399353881	0.370993555	0.325590423	0.378532072	0.260964249	0.355671551	0.340223815	0.402110331	0.461956435	0.905930056	0.921688326
Kohl-Grounhog-KPM-R051	0.386415947	0.41202306	0.557458394	0.411698035	0.680158722	0.577440503	0.605677311	0.610993561	0.580226697	0.346276789	0.317008446	0.108320558	0.516222507	0.048823418	0.024845704	0.018747704	0.073336472	0.018914166	0.018747707	0.077790295	0.431731764	0.41490885	0.37546509	0.048910579	0.089433517	0	0.423142914	0.023712397	0.427413646	0.499049474	0.100544936	0.467070431	0.142214358	0.043593847	0.113576806	0.503915744	0.23692321	0.140590249	0.166599217	0.286328951	0.317553814	0.283327175	0.530517759	0.599225914	0.249906083	0.178683673	0.180657838	0.540802785	0.381529667	0.331304186	0.27858843	0.357922236	0.229299628	0.331990204	0.312577381	0.379933939	0.444209762	0.906476919	0.922074815
Kohl-Grounhog-KPM-R052	0.610080902	0.653393592	0.281910499	0.627000446	0.51955031	0.284351117	0.401136861	0.333378706	0.750387325	0.665082417	0.526394664	0.412333027	0.169018151	0.446292232	0.435690045	0.421882561	0.386545724	0.433774065	0.421882563	0.420293859	0.067326724	0.112674657	0.567785378	0.401990645	0.46368401	0.423142914	0	0.42476145	0.055948252	0.265484864	0.469373479	0.195786654	0.494975393	0.44474131	0.424487625	0.133959329	0.506686127	0.457940898	0.435193793	0.543514975	0.552717144	0.532772952	0.203297787	0.314312313	0.501511038	0.443952208	0.445381317	0.205769982	0.58624154	0.582232641	0.550737135	0.58307028	0.44973369	0.577382369	0.558638303	0.607124619	0.656433913	0.94190461	0.949164578
Kohl-Grounhog-KPM-R053	0.380027159	0.413288755	0.55857057	0.410522954	0.68083316	0.575849577	0.606546125	0.612047996	0.577825763	0.34144456	0.318473604	0.097568074	0.517546299	0.041648715	0.038025646	0.009208039	0.063961193	0.029977487	0.009208042	0.063460801	0.448690504	0.431917777	0.36759827	0.035890068	0.080964217	0.023712397	0.42476145	0	0.444554129	0.500270529	0.086705248	0.459811691	0.127879126	0.036398876	0.098707814	0.505307648	0.232068215	0.136101453	0.168942311	0.28153193	0.319187305	0.285262427	0.531790219	0.600312336	0.251850375	0.180959403	0.175756341	0.542080676	0.378042124	0.33299989	0.280608495	0.354060622	0.22448371	0.327748116	0.308284201	0.376080578	0.440709049	0.90607251	0.921707608
Kohl-Grounhog-KPM-R054	0.621503285	0.662933201	0.315785636	0.63746635	0.537208676	0.321555444	0.42452616	0.368619633	0.755162533	0.677256482	0.539628959	0.433405407	0.142583592	0.465378148	0.439578699	0.441870406	0.409004257	0.437709013	0.441870407	0.439611521	0.012052805	0.060088237	0.578615552	0.422525801	0.480987326	0.427413646	0.055948252	0.444554129	0	0.29755803	0.486260264	0.23394973	0.512266117	0.463865487	0.445299452	0.182412791	0.524654622	0.474867618	0.456044782	0.560320043	0.566704596	0.549489638	0.245409713	0.350565803	0.51843278	0.464173117	0.465500299	0.249501532	0.597375933	0.5960972	0.567288045	0.595447486	0.470156632	0.591106206	0.573076849	0.618827901	0.665866378	0.942108368	0.949328052
Kohl-Grounhog-KPM-R055	0.67814694	0.690535476	0.449266721	0.690377706	0.617064286	0.465376455	0.523663497	0.443693272	0.706601887	0.711268448	0.601991437	0.492391682	0.388567371	0.519097317	0.508766078	0.498099276	0.47167871	0.507086311	0.498099277	0.524129926	0.304183303	0.330940735	0.54186345	0.511340218	0.439473579	0.499049474	0.265484864	0.500270529	0.29755803	0	0.431403404	0.336045936	0.587844988	0.517692649	0.503480676	0.368692924	0.605449737	0.553077129	0.546458308	0.637379029	0.632731935	0.625977781	0.404281333	0.491440516	0.595105775	0.552391062	0.553361884	0.413096836	0.65214874	0.662324019	0.645996648	0.655483368	0.559202537	0.656632019	0.641079037	0.676607338	0.714993031	0.945223393	0.952097613
