	Kohl-Grounhog-KPM-R010	Kohl-Grounhog-KPM-R011	Kohl-Grounhog-KPM-R012	Kohl-Grounhog-KPM-R013	Kohl-Grounhog-KPM-R014	Kohl-Grounhog-KPM-R015	Kohl-Grounhog-KPM-R022	Kohl-Grounhog-KPM-R023	Kohl-Grounhog-KPM-R024	Kohl-Grounhog-KPM-R025	Kohl-Grounhog-KPM-R026	Kohl-Grounhog-KPM-R027	Kohl-Grounhog-KPM-R028	Kohl-Grounhog-KPM-R029	Kohl-Grounhog-KPM-R030	Kohl-Grounhog-KPM-R031	Kohl-Grounhog-KPM-R032	Kohl-Grounhog-KPM-R033	Kohl-Grounhog-KPM-R034	Kohl-Grounhog-KPM-R035	Kohl-Grounhog-KPM-R036	Kohl-Grounhog-KPM-R037	Kohl-Grounhog-KPM-R048	Kohl-Grounhog-KPM-R049	Kohl-Grounhog-KPM-R050	Kohl-Grounhog-KPM-R051	Kohl-Grounhog-KPM-R052	Kohl-Grounhog-KPM-R053	Kohl-Grounhog-KPM-R054	Kohl-Grounhog-KPM-R055	Kohl-Grounhog-KPM-R056	Kohl-Grounhog-KPM-R057	Kohl-Grounhog-KPM-R058	Kohl-Grounhog-KPM-R059	Kohl-Grounhog-KPM-R060	Kohl-Grounhog-KPM-R061	Kohl-Grounhog-KPM-R068	Kohl-Grounhog-KPM-R069	Kohl-Grounhog-KPM-R070	Kohl-Grounhog-KPM-R071	Kohl-Grounhog-KPM-R072	Kohl-Grounhog-KPM-R082	Kohl-Grounhog-KPM-R083	Kohl-Grounhog-KPM-R084	Kohl-Grounhog-KPM-R085	Kohl-Grounhog-KPM-R098	Kohl-Grounhog-KPM-R099	Kohl-Grounhog-KPM-R100	Kohl-Grounhog-KPM-R101	Kohl-Grounhog-KPM-R102	Kohl-Grounhog-KPM-R103	Kohl-Grounhog-KPM-R104	Kohl-Grounhog-KPM-R109	Kohl-Grounhog-KPM-R110	Kohl-Grounhog-KPM-R111	Kohl-Grounhog-KPM-R112	Kohl-Grounhog-KPM-R113	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R098	0.181594627	0.204033991	0.267050583	0.188635379	0.24602552	0.241584997	0.264845556	0.265578418	0.090981885	0.080452457	0.138998687	0.15130785	0.294460478	0.134533901	0.120846619	0.158205112	0.149834014	0.172980269	0.161413004	0.21256047	0.294914074	0.285735414	0.235256773	0.238421022	0.243594548	0.223857611	0.27810168	0.214887626	0.281689549	0.184779203	0.212798019	0.199128529	0.261674714	0.178464601	0.241632774	0.284191002	0.223015997	0.186835993	0.267018475	0.263976776	0.22038201	0.266033918	0.291622673	0.275093019	0.230228967	0	0.076281468	0.289417335	0.122396851	0.043267082	0.281102991	0.165244063	0.076980507	0.319537869	0.149579004	0.215714384	0.204659095	0.37327267	0.351265649
Kohl-Grounhog-KPM-R099	0.158406928	0.139552615	0.307974256	0.212953466	0.285601999	0.281161475	0.304412973	0.305602143	0.153481199	0.14250736	0.184750041	0.196957136	0.330187027	0.180532499	0.166838822	0.19971267	0.195112302	0.219423906	0.207975704	0.259228675	0.327972381	0.323113905	0.281704185	0.284887427	0.289991533	0.270499809	0.322755395	0.260886224	0.324996071	0.234336147	0.259241443	0.246438417	0.307670531	0.224840266	0.287873807	0.329783707	0.16381913	0.209963777	0.307911895	0.304488122	0.25983698	0.306811485	0.338005651	0.314669497	0.269619592	0.076281468	0	0.328984752	0.056205018	0.073525854	0.320999567	0.094539245	0.110737765	0.253048049	0.083556507	0.146531963	0.138172918	0.379798459	0.358426088
Kohl-Grounhog-KPM-R100	0.20172519	0.240740771	0.057774758	0.14739189	0.06683962	0.072691429	0.053100546	0.052327668	0.320732006	0.323893324	0.231896506	0.233339945	0.154380016	0.239900236	0.254850188	0.244664651	0.248525605	0.2353952	0.243958558	0.20952007	0.144802662	0.136052527	0.225539673	0.222697027	0.184309052	0.190310219	0.157985989	0.213589729	0.155218689	0.214722229	0.190741312	0.205068594	0.206499538	0.207920855	0.200500643	0.164656783	0.199961158	0.148742638	0.053277036	0.056541686	0.098080523	0.053464378	0.156562626	0.032214201	0.083028278	0.289417335	0.328984752	0	0.320192691	0.292108718	0.012651904	0.33514751	0.22675075	0.202341455	0.325614042	0.408229585	0.35688786	0.396424548	0.363034123
Kohl-Grounhog-KPM-R101	0.150596526	0.113632632	0.305490985	0.207071896	0.278041857	0.278466296	0.301734067	0.303118797	0.200658418	0.190734489	0.197143641	0.209782808	0.335948517	0.193039878	0.176796526	0.21258308	0.207982711	0.232294315	0.220846113	0.272099084	0.329232562	0.324336207	0.294533454	0.297757836	0.302821926	0.283370218	0.334593742	0.273687831	0.332992783	0.245507125	0.272305644	0.259890755	0.318972379	0.238060937	0.300719776	0.341841561	0.155127466	0.203365925	0.305455733	0.302020136	0.257186894	0.304355323	0.343691908	0.305911946	0.266982273	0.122396851	0.056205018	0.320192691	0	0.111804509	0.313079194	0.044248636	0.108461914	0.197410149	0.035196285	0.107894004	0.086188299	0.394183058	0.37200902
Kohl-Grounhog-KPM-R102	0.159568474	0.182007837	0.274263402	0.178564528	0.24899951	0.247717664	0.270255733	0.271514737	0.092134616	0.079971055	0.180216145	0.192872534	0.318651385	0.176115991	0.16222163	0.195655583	0.191055215	0.215366819	0.203918616	0.255175197	0.31351262	0.308796961	0.277657102	0.280840344	0.28594445	0.266442722	0.317666246	0.256767553	0.31529377	0.228004655	0.25519436	0.242388286	0.303049725	0.220774429	0.283826724	0.324914064	0.202067437	0.175747057	0.274088677	0.270479595	0.225624728	0.27286483	0.312869748	0.27788977	0.23547743	0.043267082	0.073525854	0.292108718	0.111804509	0	0.285847645	0.151054694	0.092163671	0.294453487	0.125300675	0.184086083	0.178274032	0.367728938	0.347637294
Kohl-Grounhog-KPM-R103	0.195765554	0.234781134	0.064693659	0.141432254	0.061181976	0.067033785	0.060737021	0.061996025	0.312228887	0.315390204	0.224432707	0.225432935	0.164269813	0.231451522	0.246508173	0.236478581	0.240216421	0.227307621	0.235747865	0.201260131	0.154414301	0.145942693	0.217556246	0.214658695	0.175868545	0.18187792	0.165509191	0.205231299	0.1622774	0.206591042	0.182309013	0.196970237	0.207768968	0.19947214	0.192051929	0.171817753	0.193994195	0.142830081	0.065082236	0.067424735	0.092167965	0.065369576	0.164664461	0.044719053	0.077109462	0.281102991	0.320999567	0.012651904	0.313079194	0.285847645	0	0.327898031	0.220894528	0.200781649	0.317296049	0.399726465	0.350717925	0.393960593	0.361810695
Kohl-Grounhog-KPM-R104	0.166843908	0.129847304	0.32313604	0.224430751	0.295524386	0.296565217	0.319077964	0.320391286	0.239772131	0.229816362	0.215404033	0.228042433	0.354347672	0.211299503	0.195056151	0.230842704	0.226242336	0.25055394	0.239314397	0.290358709	0.345787278	0.341140851	0.312793079	0.316017461	0.32108155	0.301629843	0.352992897	0.291947456	0.351391938	0.264204935	0.291003454	0.278588566	0.337159824	0.256729804	0.319190379	0.360216092	0.171891436	0.221067116	0.322881912	0.319303498	0.274497365	0.321712383	0.364380406	0.32089224	0.284332309	0.165244063	0.094539245	0.33514751	0.044248636	0.151054694	0.327898031	0	0.128647768	0.16273236	0.036224103	0.089320015	0.051098011	0.414830131	0.392412098
Kohl-Grounhog-KPM-R109	0.11707315	0.139528878	0.208930634	0.124130266	0.181495536	0.182085931	0.205034836	0.20638998	0.160625339	0.150095911	0.102262011	0.114918085	0.241694461	0.098666737	0.084851771	0.119201423	0.112858294	0.136997206	0.127402235	0.177128701	0.233570325	0.221883297	0.199566778	0.202573931	0.2075997	0.187961598	0.238964409	0.17948286	0.236591934	0.150952224	0.17805513	0.165281537	0.225687093	0.143969785	0.206430833	0.246212228	0.158933312	0.122457456	0.208978571	0.205844673	0.161348592	0.20791455	0.25480473	0.210476119	0.170638298	0.076980507	0.110737765	0.22675075	0.108461914	0.092163671	0.220894528	0.128647768	0	0.248060141	0.134772273	0.209133276	0.175003094	0.363134768	0.341027844
Kohl-Grounhog-KPM-R110	0.157027525	0.136650756	0.205894459	0.158377507	0.189127555	0.19181828	0.20264875	0.203537985	0.385282702	0.374226275	0.293409842	0.293984795	0.290304606	0.297105061	0.28494108	0.307724583	0.312513495	0.302476281	0.311348958	0.282180799	0.281323101	0.270675779	0.303316134	0.300612298	0.278384495	0.278261757	0.292032734	0.279583786	0.289384364	0.285773882	0.271419001	0.278247966	0.277874834	0.268374414	0.273444128	0.299004658	0.117559337	0.156483803	0.205945587	0.202396501	0.184647424	0.204720773	0.292370921	0.186232508	0.18990974	0.319537869	0.253048049	0.202341455	0.197410149	0.294453487	0.200781649	0.16273236	0.248060141	0	0.173348928	0.233879868	0.180787273	0.407561123	0.383269204
Kohl-Grounhog-KPM-R111	0.162461203	0.125359252	0.319205792	0.220497223	0.291594138	0.292620177	0.31523436	0.316529068	0.214098516	0.203033907	0.229090926	0.241287937	0.368256171	0.224190256	0.207954194	0.243807327	0.23913309	0.263617054	0.252045737	0.303249463	0.358544187	0.352622151	0.325956507	0.329131643	0.333981415	0.314520596	0.366901396	0.304838209	0.365300437	0.276754877	0.303558864	0.291138508	0.350104713	0.269301579	0.331873799	0.374124592	0.167004643	0.217187322	0.318991189	0.315401448	0.270588029	0.317782135	0.36213631	0.311300689	0.28039878	0.149579004	0.083556507	0.325614042	0.035196285	0.125300675	0.317296049	0.036224103	0.134772273	0.173348928	0	0.086995817	0.060866276	0.408401081	0.385278242
Kohl-Grounhog-KPM-R112	0.236287858	0.195127346	0.393566794	0.294896767	0.36595514	0.366936801	0.389622393	0.390952805	0.265299446	0.254234837	0.296320838	0.308517848	0.437877848	0.291231393	0.275102029	0.311037238	0.306313755	0.330846966	0.319275648	0.370479374	0.431585203	0.426938776	0.393186418	0.396361554	0.401030759	0.381578148	0.434131307	0.371969629	0.432530349	0.342876844	0.370287196	0.357293306	0.417091714	0.335761814	0.398914936	0.441354503	0.238367482	0.291503946	0.393307814	0.389825184	0.345011765	0.392153085	0.428513066	0.393905269	0.354787361	0.215714384	0.146531963	0.408229585	0.107894004	0.184086083	0.399726465	0.089320015	0.209133276	0.233879868	0.086995817	0	0.055849889	0.460129831	0.437143301
Kohl-Grounhog-KPM-R113	0.188335246	0.150767837	0.345520135	0.246814847	0.317961988	0.319002819	0.34150485	0.342785393	0.266951875	0.258078293	0.257057861	0.26969885	0.394968106	0.252954098	0.236718035	0.2724973	0.267896931	0.292208535	0.280760333	0.332013304	0.385256122	0.378997467	0.354449497	0.357673878	0.362745257	0.343284438	0.394507962	0.333602051	0.392135486	0.305562769	0.332366756	0.319924861	0.378814419	0.298105862	0.360637641	0.401755781	0.192872213	0.243544879	0.345373831	0.341748386	0.296881461	0.344149985	0.390427863	0.342677974	0.306762585	0.204659095	0.138172918	0.35688786	0.086188299	0.178274032	0.350717925	0.051098011	0.175003094	0.180787273	0.060866276	0.055849889	0	0.437775073	0.414636326
Kohl-LQ-Groundhog-KPM-G002	0.347988239	0.370420073	0.366718212	0.342991749	0.370598887	0.369002188	0.372880677	0.373222131	0.39728484	0.387730926	0.380589536	0.388898943	0.416276964	0.379861097	0.3771144	0.369374154	0.366869053	0.36451684	0.360650551	0.365435465	0.415799823	0.411752161	0.358219447	0.360110432	0.379371273	0.382213357	0.407144688	0.360020382	0.411500871	0.356880857	0.373180602	0.360333388	0.369919681	0.369079865	0.363126961	0.411230086	0.357906124	0.343879849	0.371920405	0.368705738	0.354210338	0.37173261	0.396736146	0.382154637	0.366131671	0.37327267	0.379798459	0.396424548	0.394183058	0.367728938	0.393960593	0.414830131	0.363134768	0.407561123	0.408401081	0.460129831	0.437775073	0	0.175138927
Kohl-LQ-Groundhog-KPM-G003	0.329011676	0.34916134	0.338460583	0.322630068	0.338891084	0.337546505	0.339797964	0.340107211	0.375946343	0.367967453	0.360230121	0.367841509	0.383802068	0.362867756	0.358934193	0.361757416	0.359298314	0.356311162	0.352729107	0.352094187	0.383600351	0.379308658	0.342556769	0.344536379	0.360121585	0.360014099	0.376358375	0.346920719	0.381126947	0.347275285	0.352459424	0.348560713	0.355498213	0.352402561	0.348436159	0.381041646	0.336708183	0.324277742	0.33870403	0.335450599	0.32916256	0.338290062	0.364340967	0.348702629	0.335003542	0.351265649	0.358426088	0.363034123	0.37200902	0.347637294	0.361810695	0.392412098	0.341027844	0.383269204	0.385278242	0.437143301	0.414636326	0.175138927	0
