	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G013	Kohl-LQ-Groundhog-KPM-G014	Kohl-LQ-Groundhog-KPM-G015	Kohl-LQ-Groundhog-KPM-G016	Kohl-LQ-Groundhog-KPM-G017	Kohl-LQ-Groundhog-KPM-G018	Kohl-LQ-Groundhog-KPM-G019	Kohl-LQ-Groundhog-KPM-G020	Kohl-LQ-Groundhog-KPM-G030	Kohl-LQ-Groundhog-KPM-G031	Kohl-LQ-Groundhog-KPM-G032	Kohl-LQ-Groundhog-KPM-G033	Kohl-LQ-Groundhog-KPM-G034	Kohl-LQ-Groundhog-KPM-G035	Kohl-LQ-Groundhog-KPM-G036	Kohl-LQ-Groundhog-KPM-G037	Kohl-LQ-Groundhog-KPM-G038	Kohl-LQ-Groundhog-KPM-G048	Kohl-LQ-Groundhog-KPM-G049	Kohl-LQ-Groundhog-KPM-G050	Kohl-LQ-Groundhog-KPM-G051	Kohl-LQ-Groundhog-KPM-G052	Kohl-LQ-Groundhog-KPM-G053	Kohl-LQ-Groundhog-KPM-G054	Kohl-LQ-Groundhog-KPM-G055	Kohl-LQ-Groundhog-KPM-G056	Kohl-LQ-Groundhog-KPM-G066	Kohl-LQ-Groundhog-KPM-G067	Kohl-LQ-Groundhog-KPM-G068	Kohl-LQ-Groundhog-KPM-G069	Kohl-LQ-Groundhog-KPM-G070	Kohl-LQ-Groundhog-KPM-G071	Kohl-LQ-Groundhog-KPM-G072	Kohl-LQ-Groundhog-KPM-G073	Kohl-LQ-Groundhog-KPM-G074	Kohl-LQ-Groundhog-KPM-G084	Kohl-LQ-Groundhog-KPM-G085	Kohl-LQ-Groundhog-KPM-G086	Kohl-LQ-Groundhog-KPM-G087	Kohl-LQ-Groundhog-KPM-G088	Kohl-LQ-Groundhog-KPM-G089	Kohl-LQ-Groundhog-KPM-G090	Kohl-LQ-Groundhog-KPM-G091	Kohl-LQ-Groundhog-KPM-G092	Kohl-LQ-Groundhog-KPM-G102	Kohl-LQ-Groundhog-KPM-G103	Kohl-LQ-Groundhog-KPM-G104	Kohl-LQ-Groundhog-KPM-G105	Kohl-LQ-Groundhog-KPM-G106	Kohl-LQ-Groundhog-KPM-G107	Kohl-LQ-Groundhog-KPM-G108	Kohl-LQ-Groundhog-KPM-G109	Kohl-LQ-Groundhog-KPM-G110
Kohl-LQ-Groundhog-KPM-G068	0.359921205	0.346572015	0.155053679	0.10763661	0.131253074	0.265530128	0.04522684	0.13797965	0.173589694	0.41420805	0.150672798	0.184575714	0.177404512	0.105019174	0.044657422	0.101911695	0.129917514	0.172003406	0.125968991	0.102997357	0.190830774	0.136850667	0.101200211	0.178143606	0.138804296	0.160229438	0.172345605	0.268729303	0.116709931	0.063103056	0	0.153947556	0.172700474	0.158078438	0.099006288	0.184609019	0.098800453	0.103795179	0.070946335	0.020713655	0.041372635	0.188616324	0.140597803	0.1179855	0.18684016	0.110382472	0.166032	0.109114509	0.130359658	0.124885316	0.150857307	0.184947418	0.340497426	0.346598266	0.315367642
Kohl-LQ-Groundhog-KPM-G069	0.392082171	0.370048503	0.111191556	0.138192259	0.150979068	0.233359786	0.15426853	0.091635432	0.213080162	0.387040635	0.045901493	0.180944888	0.03683474	0.134673121	0.118805615	0.111567685	0.089197202	0.213113556	0.086514796	0.084510788	0.231379709	0.092439539	0.118533081	0.198366459	0.081628994	0.009584132	0.212196367	0.298969418	0.116803402	0.184006462	0.153947556	0	0.213153379	0.036834488	0.098434467	0.224764528	0.114050315	0.094591534	0.18947775	0.149574834	0.148044642	0.201021974	0.077645417	0.147080115	0.22818716	0.13162512	0.172598871	0.087568631	0.164885426	0.209298148	0.141567066	0.227001667	0.355136477	0.362849243	0.33541286
Kohl-LQ-Groundhog-KPM-G070	0.369330145	0.336073882	0.23488359	0.213369823	0.088351037	0.289596663	0.158964458	0.22247932	0.007956429	0.460873188	0.195519227	0.057871341	0.204446927	0.219145215	0.176241258	0.215329958	0.216035497	0.016015739	0.2145538	0.154299095	0.042757863	0.129508686	0.159437002	0.14003435	0.164478315	0.214929012	0.002921826	0.320656093	0.112151823	0.143407734	0.172700474	0.213153379	0	0.190427842	0.128085776	0.034365705	0.134468197	0.139063665	0.140083015	0.178717688	0.18896629	0.06526606	0.19860054	0.213078208	0.037605817	0.135321761	0.189222268	0.137325968	0.225301235	0.171443731	0.246949742	0.051277401	0.301234851	0.318424385	0.284240469
Kohl-LQ-Groundhog-KPM-G071	0.391605543	0.368129946	0.120386254	0.141121597	0.128731129	0.240333037	0.158964775	0.126450598	0.190468394	0.399483706	0.068112222	0.158288586	0.043292601	0.148313878	0.122732543	0.125591838	0.122801916	0.190384933	0.121250021	0.082259135	0.208749954	0.074799944	0.123073323	0.176024265	0.062242825	0.037175995	0.189553823	0.315747037	0.108181201	0.188308576	0.158078438	0.036834488	0.190427842	0	0.095300445	0.202312605	0.107767543	0.091449861	0.19383135	0.153663991	0.153557121	0.178522829	0.069744345	0.153070748	0.205623104	0.127470511	0.16504169	0.080471637	0.170831032	0.214929203	0.144339337	0.204364278	0.34492106	0.350643184	0.324696778
Kohl-LQ-Groundhog-KPM-G072	0.373051118	0.348810094	0.145186174	0.113963844	0.066149215	0.1994395	0.09744104	0.119664671	0.128409128	0.373946729	0.084959728	0.125594778	0.11495719	0.103299818	0.071770561	0.092440903	0.117380202	0.12836469	0.114678875	0.047643672	0.151079072	0.058016396	0.060804758	0.123105794	0.069907979	0.104849387	0.127218289	0.280430458	0.04011505	0.125935736	0.099006288	0.098434467	0.128085776	0.095300445	0	0.139775526	0.029699354	0.0442846	0.131702234	0.101302138	0.105660926	0.136022942	0.081881416	0.114409991	0.145162101	0.043975933	0.123743178	0.028895345	0.126826352	0.155915984	0.14114869	0.142530055	0.311265043	0.323827935	0.293586011
Kohl-LQ-Groundhog-KPM-G073	0.384138033	0.35156542	0.247762144	0.226315974	0.106725052	0.302714318	0.171015925	0.23410553	0.029241948	0.474406001	0.209216155	0.050961263	0.217923196	0.231643384	0.189069747	0.227431218	0.230208064	0.038186016	0.227763653	0.166207592	0.016576816	0.135134439	0.171194416	0.151778357	0.173768988	0.227278812	0.033159897	0.332361126	0.120762925	0.154488812	0.184609019	0.224764528	0.034365705	0.202312605	0.139775526	0	0.147535301	0.150760023	0.152720543	0.191835588	0.201330412	0.036775132	0.211075227	0.22588893	0.010061338	0.149606231	0.200988903	0.149733692	0.238221958	0.184083409	0.258973961	0.071968491	0.29695003	0.327567786	0.289335524
Kohl-LQ-Groundhog-KPM-G074	0.368001779	0.342939475	0.143232736	0.114688935	0.063597746	0.206526153	0.094499277	0.130879485	0.135283353	0.380024625	0.099405673	0.131360067	0.117541146	0.118486035	0.080526838	0.111544587	0.126673041	0.132649276	0.125421577	0.058391797	0.153564345	0.07809137	0.08024139	0.12452128	0.072035043	0.112151326	0.133718681	0.277157886	0.053850773	0.123504073	0.098800453	0.114050315	0.134468197	0.107767543	0.029699354	0.147535301	0	0.049575694	0.129188159	0.100457866	0.097025092	0.139073739	0.083115217	0.110421514	0.149285059	0.033184628	0.116589589	0.051341303	0.124009787	0.147947152	0.145384335	0.141802552	0.310572129	0.318522662	0.287253254
Kohl-LQ-Groundhog-KPM-G084	0.381781276	0.35422076	0.115621012	0.143483071	0.090523379	0.233824013	0.09536544	0.14966503	0.139433358	0.405011731	0.09930162	0.105176052	0.111448664	0.130404879	0.101559048	0.115118393	0.147429832	0.138776968	0.144835379	0.079937619	0.157890787	0.101024615	0.097198987	0.136380183	0.065351964	0.10114545	0.138029819	0.289899824	0.08307553	0.123710443	0.103795179	0.094591534	0.139063665	0.091449861	0.0442846	0.150760023	0.049575694	0	0.129523136	0.106707502	0.119040981	0.127642973	0.073023235	0.110508728	0.154323122	0.050886935	0.13304182	0.069388739	0.128951917	0.154317706	0.150608287	0.152577501	0.328466557	0.33364155	0.303843739
Kohl-LQ-Groundhog-KPM-G085	0.381593747	0.352413849	0.208900131	0.139283267	0.154961012	0.293412066	0.035757554	0.164644463	0.141544888	0.441785708	0.186351815	0.160495988	0.213546149	0.170774141	0.073704574	0.166248621	0.157166704	0.143315414	0.15244635	0.132789838	0.158337155	0.169498088	0.158762831	0.189285608	0.183365948	0.196088583	0.139943467	0.273539034	0.146984235	0.011748554	0.070946335	0.18947775	0.140083015	0.19383135	0.131702234	0.152720543	0.129188159	0.129523136	0	0.081635837	0.093495905	0.165645517	0.176683907	0.184201325	0.155726698	0.138412409	0.204734488	0.144811776	0.196422075	0.086456672	0.216442308	0.158587802	0.345829508	0.351597038	0.320849752
Kohl-LQ-Groundhog-KPM-G086	0.35928907	0.346874527	0.151931588	0.097117297	0.127500759	0.254012108	0.048483007	0.127246443	0.179807928	0.403258589	0.145665997	0.197434723	0.172198344	0.096175851	0.045153167	0.093366698	0.118420171	0.179441498	0.114953386	0.093339947	0.1968656	0.129743212	0.086456529	0.183058684	0.133660216	0.155535206	0.17822177	0.267821541	0.111286099	0.073874584	0.020713655	0.149574834	0.178717688	0.153663991	0.101302138	0.191835588	0.100457866	0.106707502	0.081635837	0	0.030558312	0.202171119	0.141957324	0.112252461	0.194094837	0.112943381	0.16989515	0.106914856	0.125902579	0.132106076	0.14327601	0.190943406	0.33817445	0.343936121	0.313049495
