	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G004	Kohl-LQ-Groundhog-KPM-G005	Kohl-LQ-Groundhog-KPM-G006	Kohl-LQ-Groundhog-KPM-G007	Kohl-LQ-Groundhog-KPM-G008	Kohl-LQ-Groundhog-KPM-G009	Kohl-LQ-Groundhog-KPM-G010	Kohl-LQ-Groundhog-KPM-G011	Kohl-LQ-Groundhog-KPM-G021	Kohl-LQ-Groundhog-KPM-G022	Kohl-LQ-Groundhog-KPM-G023	Kohl-LQ-Groundhog-KPM-G025	Kohl-LQ-Groundhog-KPM-G026	Kohl-LQ-Groundhog-KPM-G027	Kohl-LQ-Groundhog-KPM-G028	Kohl-LQ-Groundhog-KPM-G029	Kohl-LQ-Groundhog-KPM-G039	Kohl-LQ-Groundhog-KPM-G040	Kohl-LQ-Groundhog-KPM-G041	Kohl-LQ-Groundhog-KPM-G042	Kohl-LQ-Groundhog-KPM-G043	Kohl-LQ-Groundhog-KPM-G044	Kohl-LQ-Groundhog-KPM-G045	Kohl-LQ-Groundhog-KPM-G046	Kohl-LQ-Groundhog-KPM-G047	Kohl-LQ-Groundhog-KPM-G057	Kohl-LQ-Groundhog-KPM-G058	Kohl-LQ-Groundhog-KPM-G059	Kohl-LQ-Groundhog-KPM-G060	Kohl-LQ-Groundhog-KPM-G061	Kohl-LQ-Groundhog-KPM-G062	Kohl-LQ-Groundhog-KPM-G063	Kohl-LQ-Groundhog-KPM-G064	Kohl-LQ-Groundhog-KPM-G065	Kohl-LQ-Groundhog-KPM-G075	Kohl-LQ-Groundhog-KPM-G076	Kohl-LQ-Groundhog-KPM-G077	Kohl-LQ-Groundhog-KPM-G078	Kohl-LQ-Groundhog-KPM-G079	Kohl-LQ-Groundhog-KPM-G080	Kohl-LQ-Groundhog-KPM-G081	Kohl-LQ-Groundhog-KPM-G082	Kohl-LQ-Groundhog-KPM-G083	Kohl-LQ-Groundhog-KPM-G093	Kohl-LQ-Groundhog-KPM-G094	Kohl-LQ-Groundhog-KPM-G095	Kohl-LQ-Groundhog-KPM-G096	Kohl-LQ-Groundhog-KPM-G097	Kohl-LQ-Groundhog-KPM-G098	Kohl-LQ-Groundhog-KPM-G099	Kohl-LQ-Groundhog-KPM-G100	Kohl-LQ-Groundhog-KPM-G101
Kohl-LQ-Groundhog-KPM-G057	0.390220155	0.366734706	0.083948295	0.105126784	0.053347609	0.091390238	0.085992264	0.302732742	0.146045522	0.046455298	0.181801499	0.071570941	0.199398324	0.202819538	0.12153875	0.094239308	0.130882408	0.1239427	0.08390639	0.098450668	0.095224272	0.085681852	0.413676408	0.125254261	0.062954641	0.168305659	0.073552715	0	0.136758215	0.173598542	0.369270691	0.373280294	0.105394708	0.070921035	0.20032245	0.367900654	0.101115884	0.093668932	0.172436803	0.107372656	0.173076059	0.134522181	0.371650699	0.377658448	0.365417051	0.125591993	0.193151943	0.010615969	0.112135174	0.028661229	0.121360083	0.378798567	0.33759056	0.312540716
Kohl-LQ-Groundhog-KPM-G058	0.34590259	0.337252653	0.115099679	0.074889106	0.092897855	0.110025866	0.14424895	0.318647166	0.168261881	0.127149302	0.153916502	0.130334824	0.20098127	0.214238359	0.110174233	0.104822566	0.083997391	0.069380253	0.086267328	0.073764781	0.099544645	0.119365983	0.407499998	0.140685335	0.127104533	0.188790759	0.142368699	0.136758215	0	0.098527945	0.339382781	0.343372086	0.091955655	0.119494955	0.214683418	0.339603	0.081528487	0.108814859	0.057591208	0.085683291	0.197661268	0.1320139	0.340210618	0.347393164	0.33579368	0.096129899	0.204179164	0.137409908	0.080645046	0.132816221	0.102781016	0.348941096	0.313773771	0.288492441
Kohl-LQ-Groundhog-KPM-G059	0.34050986	0.335186807	0.093967913	0.142918319	0.128001043	0.158217024	0.184948943	0.255719198	0.101950474	0.152115076	0.106538259	0.121664991	0.13650533	0.277126074	0.121733328	0.161701821	0.165211787	0.157855528	0.094172764	0.150459755	0.0998319	0.17094085	0.435195437	0.086894586	0.152546779	0.244026499	0.156891213	0.173598542	0.098527945	0	0.332708913	0.339801241	0.16252786	0.148400766	0.277507955	0.340861391	0.167493421	0.164765144	0.050733858	0.164446262	0.24704504	0.087703429	0.334862194	0.340758842	0.339945657	0.114539826	0.266640268	0.174365036	0.167221101	0.163119704	0.114382543	0.337945842	0.305221705	0.299786616
Kohl-LQ-Groundhog-KPM-G060	0.171504464	0.120621767	0.346684473	0.339132441	0.355172552	0.359923742	0.35078045	0.434596391	0.338781949	0.36338929	0.306910475	0.346035444	0.317509889	0.359480123	0.326022545	0.349635359	0.347860381	0.358872016	0.357218459	0.341410344	0.345073999	0.344605632	0.465653553	0.33443275	0.35967843	0.362526675	0.350639022	0.369270691	0.339382781	0.332708913	0	0.077658608	0.353490973	0.364900105	0.36350607	0.09361481	0.357360893	0.348353042	0.328539547	0.358509056	0.371289502	0.330263362	0.042218481	0.082728932	0.11666749	0.326803772	0.360511607	0.368825006	0.356419238	0.370724425	0.353486254	0.047563977	0.119421978	0.131892787
Kohl-LQ-Groundhog-KPM-G061	0.168427347	0.083839942	0.353615089	0.343827935	0.359229419	0.363933344	0.354790052	0.449965554	0.350994581	0.367408177	0.315355403	0.351974198	0.334243884	0.359460399	0.333647279	0.353644962	0.351725563	0.362426649	0.360837257	0.346233899	0.349288939	0.349229325	0.464135054	0.342500083	0.364318171	0.362540593	0.355893293	0.373280294	0.343372086	0.339801241	0.077658608	0	0.357500575	0.368911567	0.363396323	0.052593469	0.360958274	0.352357144	0.335617184	0.361938718	0.371269778	0.338316251	0.065077009	0.042437959	0.071813502	0.33426763	0.360497439	0.372834608	0.360130931	0.374172346	0.356640122	0.070794723	0.093810893	0.103971949
Kohl-LQ-Groundhog-KPM-G062	0.372982979	0.349970488	0.133863278	0.057725138	0.108823858	0.071494943	0.093461023	0.29688661	0.166037069	0.102926809	0.181393872	0.128098946	0.215421218	0.185078224	0.079822881	0.040236754	0.041813251	0.045081997	0.099265009	0.049780438	0.127337455	0.063851042	0.401506078	0.136026417	0.096703604	0.177617746	0.13562377	0.105394708	0.091955655	0.16252786	0.353490973	0.357500575	0	0.082623924	0.183122048	0.352180089	0.047656546	0.052389075	0.123186577	0.035182936	0.187386142	0.139108376	0.355840834	0.361835272	0.349710853	0.081232792	0.181856677	0.104198248	0.036757574	0.117207263	0.150469439	0.363018848	0.323633711	0.297628376
Kohl-LQ-Groundhog-KPM-G063	0.383742061	0.361357073	0.108601217	0.085927961	0.101450258	0.029565342	0.051868675	0.274233775	0.102325055	0.035562246	0.1765699	0.063897941	0.189966221	0.216638464	0.103391723	0.07794026	0.114070676	0.107162925	0.079559059	0.082679096	0.108440095	0.082808086	0.400853908	0.108737396	0.01860895	0.181131336	0.057208162	0.070921035	0.119494955	0.148400766	0.364900105	0.368911567	0.082623924	0	0.213697075	0.363539758	0.083951509	0.085507657	0.141898404	0.08940076	0.188729587	0.133357125	0.367257797	0.373244404	0.361054295	0.11370034	0.206678491	0.077095108	0.095129887	0.070479689	0.130432463	0.37442798	0.333575952	0.307959939
Kohl-LQ-Groundhog-KPM-G064	0.388436756	0.35492203	0.25586884	0.208696304	0.212354868	0.214069519	0.164983042	0.409928104	0.287159355	0.216938922	0.268444885	0.237528904	0.316867427	0.011467461	0.193835549	0.149373375	0.175369637	0.193137363	0.224616201	0.199027432	0.238128868	0.13927847	0.414587976	0.236489014	0.203729676	0.039587073	0.221506826	0.20032245	0.214683418	0.277507955	0.36350607	0.363396323	0.183122048	0.213697075	0	0.356371222	0.204743015	0.141071805	0.250884762	0.198948931	0.036253682	0.216139056	0.363421722	0.367589233	0.352248454	0.174687312	0.021968897	0.20395027	0.197121876	0.228216415	0.230290811	0.372355794	0.332292587	0.316635987
Kohl-LQ-Groundhog-KPM-G065	0.167549427	0.063165944	0.350854835	0.340188061	0.355229565	0.358541499	0.349410413	0.458837877	0.359550709	0.362214553	0.313168379	0.349199032	0.343343043	0.35239349	0.331507797	0.348265322	0.346497768	0.357367279	0.35529251	0.342517356	0.344979381	0.344409962	0.45936336	0.345028721	0.359460026	0.355407898	0.352779274	0.367900654	0.339603	0.340861391	0.09361481	0.052593469	0.352180089	0.363539758	0.356371222	0	0.355881318	0.346977505	0.3326823	0.356169309	0.364208972	0.341888317	0.07771314	0.043981927	0.043430034	0.332016981	0.353430205	0.367954734	0.354863619	0.36900964	0.351547099	0.084780099	0.091057177	0.079105082
Kohl-LQ-Groundhog-KPM-G075	0.373105075	0.353829947	0.130872226	0.038428288	0.120935286	0.063369732	0.082827173	0.287538831	0.163091825	0.099711654	0.195255995	0.125553678	0.21202851	0.207070987	0.099341453	0.06868228	0.050263045	0.04054056	0.103228298	0.030180011	0.137020853	0.073468724	0.400809959	0.144927443	0.091791382	0.205765988	0.132112681	0.101115884	0.081528487	0.167493421	0.357360893	0.360958274	0.047656546	0.083951509	0.204743015	0.355881318	0	0.072694979	0.121613606	0.020372376	0.215517081	0.155603845	0.359157273	0.365707638	0.353211991	0.106963188	0.210082462	0.102311576	0.015260793	0.107719695	0.149223492	0.367280662	0.335152136	0.312520421
