	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003	Kohl-LQ-Groundhog-KPM-G013	Kohl-LQ-Groundhog-KPM-G014	Kohl-LQ-Groundhog-KPM-G015	Kohl-LQ-Groundhog-KPM-G016	Kohl-LQ-Groundhog-KPM-G017	Kohl-LQ-Groundhog-KPM-G018	Kohl-LQ-Groundhog-KPM-G019	Kohl-LQ-Groundhog-KPM-G020	Kohl-LQ-Groundhog-KPM-G030	Kohl-LQ-Groundhog-KPM-G031	Kohl-LQ-Groundhog-KPM-G032	Kohl-LQ-Groundhog-KPM-G033	Kohl-LQ-Groundhog-KPM-G034	Kohl-LQ-Groundhog-KPM-G035	Kohl-LQ-Groundhog-KPM-G036	Kohl-LQ-Groundhog-KPM-G037	Kohl-LQ-Groundhog-KPM-G038	Kohl-LQ-Groundhog-KPM-G048	Kohl-LQ-Groundhog-KPM-G049	Kohl-LQ-Groundhog-KPM-G050	Kohl-LQ-Groundhog-KPM-G051	Kohl-LQ-Groundhog-KPM-G052	Kohl-LQ-Groundhog-KPM-G053	Kohl-LQ-Groundhog-KPM-G054	Kohl-LQ-Groundhog-KPM-G055	Kohl-LQ-Groundhog-KPM-G056	Kohl-LQ-Groundhog-KPM-G066	Kohl-LQ-Groundhog-KPM-G067	Kohl-LQ-Groundhog-KPM-G068	Kohl-LQ-Groundhog-KPM-G069	Kohl-LQ-Groundhog-KPM-G070	Kohl-LQ-Groundhog-KPM-G071	Kohl-LQ-Groundhog-KPM-G072	Kohl-LQ-Groundhog-KPM-G073	Kohl-LQ-Groundhog-KPM-G074	Kohl-LQ-Groundhog-KPM-G084	Kohl-LQ-Groundhog-KPM-G085	Kohl-LQ-Groundhog-KPM-G086	Kohl-LQ-Groundhog-KPM-G087	Kohl-LQ-Groundhog-KPM-G088	Kohl-LQ-Groundhog-KPM-G089	Kohl-LQ-Groundhog-KPM-G090	Kohl-LQ-Groundhog-KPM-G091	Kohl-LQ-Groundhog-KPM-G092	Kohl-LQ-Groundhog-KPM-G102	Kohl-LQ-Groundhog-KPM-G103	Kohl-LQ-Groundhog-KPM-G104	Kohl-LQ-Groundhog-KPM-G105	Kohl-LQ-Groundhog-KPM-G106	Kohl-LQ-Groundhog-KPM-G107	Kohl-LQ-Groundhog-KPM-G108	Kohl-LQ-Groundhog-KPM-G109	Kohl-LQ-Groundhog-KPM-G110
Kohl-LQ-Groundhog-KPM-G084	0.874647527	0.887042187	0.645948346	0.66322276	0.568249436	0.606548576	0.612685048	0.449823043	0.599758265	0.756917159	0.476132297	0.659113667	0.510209419	0.613470993	0.580405258	0.657493703	0.609517185	0.662643676	0.628308144	0.468127491	0.539043404	0.537627549	0.553031758	0.618251359	0.602042772	0.463991915	0.507672845	0.814331203	0.468181071	0.653372815	0.69935643	0.505385795	0.655999365	0.545714455	0.51680751	0.452900857	0.619561327	0	0.621752	0.602961601	0.645701164	0.577747501	0.61092319	0.553691311	0.571717704	0.594199419	0.857894598	0.656815435	0.630681367	0.805759809	0.644151026	0.763946306	0.876708738	0.852752998	0.886439314
Kohl-LQ-Groundhog-KPM-G085	0.845872993	0.875694843	0.581786713	0.673184824	0.72465427	0.693824016	0.619229513	0.702774579	0.674225262	0.816003268	0.592250737	0.788315111	0.617549607	0.497694673	0.37170743	0.558835198	0.616711874	0.687125672	0.634154252	0.722063141	0.650318677	0.694781392	0.685086242	0.694853887	0.710333953	0.598618402	0.636889048	0.86501485	0.691169029	0.414808545	0.616677644	0.726677961	0.669382164	0.634337461	0.694824352	0.601975719	0.705001497	0.621752	0	0.50329966	0.533553206	0.786241609	0.720744733	0.642690396	0.714246217	0.727261697	0.851261469	0.64829918	0.64378364	0.866530164	0.579488872	0.774954186	0.898602118	0.877601666	0.901438623
Kohl-LQ-Groundhog-KPM-G086	0.828152775	0.855575791	0.413462242	0.488386648	0.540113685	0.5626827	0.384186259	0.449441511	0.520175481	0.700587357	0.34082488	0.694404726	0.376730714	0.388229706	0.37168656	0.584094188	0.383290511	0.631430874	0.457331696	0.56838449	0.503825037	0.595396474	0.554434536	0.534594245	0.531421995	0.508389475	0.508009303	0.826652987	0.535233345	0.572157409	0.453937673	0.497396838	0.576936624	0.464244128	0.695607106	0.602836602	0.531395482	0.602961601	0.50329966	0	0.486814043	0.622811452	0.520449135	0.436090628	0.571271254	0.55914723	0.801052768	0.504996245	0.449896408	0.83012242	0.482452343	0.714130642	0.850707469	0.826358411	0.865114182
Kohl-LQ-Groundhog-KPM-G087	0.792855766	0.842633284	0.47447158	0.552147044	0.607901311	0.642577986	0.520364191	0.577268553	0.639015365	0.714380743	0.530902626	0.747135997	0.595570013	0.429785118	0.423633036	0.666805498	0.570433433	0.69009982	0.605645573	0.676976567	0.602564426	0.608600728	0.625451795	0.650444126	0.625272492	0.468290878	0.547456413	0.733312879	0.60200843	0.24369997	0.304315281	0.611328197	0.71375586	0.563263715	0.755922462	0.432408963	0.634109781	0.645701164	0.533553206	0.486814043	0	0.545221698	0.62443416	0.522174203	0.525325646	0.660601443	0.79894259	0.468939976	0.587476641	0.839758344	0.174962764	0.762272966	0.867869591	0.845265302	0.878886333
Kohl-LQ-Groundhog-KPM-G088	0.863128925	0.873282427	0.68436711	0.693338527	0.639506008	0.619623192	0.673323672	0.484203831	0.647407447	0.657567171	0.590373894	0.640273911	0.581139739	0.706251851	0.69620336	0.763563117	0.645773843	0.755057578	0.68354803	0.566081217	0.658465808	0.697693271	0.467014004	0.654803285	0.593141552	0.620977196	0.681386673	0.717618235	0.60342407	0.614373113	0.556965394	0.535333727	0.718353823	0.56363891	0.681017036	0.376732008	0.606936987	0.577747501	0.786241609	0.622811452	0.545221698	0	0.657897455	0.641883857	0.345758846	0.714032184	0.831591257	0.728826565	0.648114493	0.832463479	0.567820132	0.814571077	0.878691724	0.861499234	0.897044429
Kohl-LQ-Groundhog-KPM-G089	0.893571392	0.903453495	0.459589727	0.480034479	0.335961447	0.470244554	0.406393421	0.428591098	0.571553577	0.742702575	0.503144598	0.719523758	0.461131781	0.48773395	0.491305704	0.563001639	0.511620199	0.742112629	0.513018915	0.501762208	0.600264609	0.438082308	0.425761655	0.470364513	0.409883634	0.46190067	0.651581504	0.800922049	0.524031204	0.747860656	0.636433776	0.439847552	0.675700692	0.50435611	0.593018982	0.664357523	0.473465438	0.61092319	0.720744733	0.520449135	0.62443416	0.657897455	0	0.499255522	0.612276686	0.466952683	0.85510183	0.614401742	0.505992514	0.792441267	0.592092531	0.803958831	0.885251789	0.860775025	0.895495239
Kohl-LQ-Groundhog-KPM-G090	0.824243744	0.855294902	0.489058245	0.526941577	0.560774199	0.571080062	0.479082683	0.457328663	0.629951333	0.735701469	0.496875312	0.714762934	0.496518575	0.43378592	0.48186328	0.687717773	0.432926396	0.638918643	0.510425697	0.520357809	0.532744579	0.531402474	0.568126265	0.569686745	0.538230057	0.487994413	0.564363994	0.826635738	0.494387142	0.65922304	0.530743552	0.500662995	0.642489034	0.468720833	0.696369997	0.581960324	0.544680682	0.553691311	0.642690396	0.436090628	0.522174203	0.641883857	0.499255522	0	0.625258557	0.581941246	0.810303486	0.536701554	0.498941584	0.834578334	0.487849547	0.743543187	0.829191871	0.821873157	0.858405073
Kohl-LQ-Groundhog-KPM-G091	0.796994074	0.814339742	0.676942364	0.646227937	0.646165728	0.57459561	0.64444319	0.581937692	0.574154872	0.650990913	0.498310498	0.601067815	0.576004946	0.693774988	0.645341557	0.726920385	0.541412857	0.613901778	0.576700124	0.503417554	0.474244686	0.63350211	0.573082714	0.658422214	0.533097246	0.626550502	0.562909496	0.755810239	0.448887787	0.571701841	0.495368021	0.607231207	0.547862087	0.616188626	0.757759072	0.485107765	0.55500582	0.571717704	0.714246217	0.571271254	0.525325646	0.345758846	0.612276686	0.625258557	0	0.569579995	0.755464856	0.641335845	0.688251278	0.858829835	0.558092275	0.718337003	0.831155161	0.805821833	0.855562999
Kohl-LQ-Groundhog-KPM-G092	0.840686728	0.85215996	0.579801688	0.547390535	0.446739617	0.439090967	0.512605058	0.548878631	0.612275753	0.740862771	0.468728311	0.668957103	0.524983901	0.599458204	0.623807125	0.700944025	0.542984077	0.641132159	0.541078296	0.534820603	0.560085634	0.433616963	0.643987907	0.53470161	0.469594105	0.598463611	0.59416607	0.831315691	0.494303557	0.758647045	0.644987489	0.539360987	0.585240841	0.533074047	0.649537171	0.728297952	0.441034914	0.594199419	0.727261697	0.55914723	0.660601443	0.714032184	0.466952683	0.581941246	0.569579995	0	0.80063822	0.599184712	0.616070589	0.835553398	0.635587116	0.726302647	0.830566275	0.795540487	0.852197428
Kohl-LQ-Groundhog-KPM-G102	0.693225103	0.689237087	0.841132755	0.814390006	0.863021817	0.805544661	0.842575764	0.856328377	0.791343854	0.771301039	0.805818642	0.832856838	0.816958616	0.850768049	0.826795452	0.894573957	0.795273279	0.694467762	0.761220938	0.83187988	0.762570939	0.824938088	0.876110404	0.814152466	0.820280736	0.858809195	0.778596491	0.89048591	0.762722438	0.83952503	0.776894874	0.861818964	0.766466764	0.821748662	0.920213157	0.828712494	0.7947028	0.857894598	0.851261469	0.801052768	0.79894259	0.831591257	0.85510183	0.810303486	0.755464856	0.80063822	0	0.777499473	0.814698197	0.920562708	0.785964042	0.630472272	0.590837828	0.608276025	0.456598415
Kohl-LQ-Groundhog-KPM-G103	0.785081097	0.837611135	0.507051321	0.54082371	0.584952864	0.644496832	0.510199736	0.558237529	0.499345308	0.725723058	0.464127387	0.693699369	0.58603386	0.552292864	0.544380977	0.704667286	0.569747975	0.632136103	0.505032593	0.670281366	0.528466593	0.648797352	0.625872451	0.558633851	0.607689523	0.544104382	0.486360032	0.84153251	0.50477694	0.603741891	0.516175548	0.609133566	0.573081525	0.559581172	0.743714634	0.699850102	0.618800115	0.656815435	0.64829918	0.504996245	0.468939976	0.728826565	0.614401742	0.536701554	0.641335845	0.599184712	0.777499473	0	0.507062154	0.845488272	0.479848873	0.729598903	0.808750365	0.782295582	0.833446421
Kohl-LQ-Groundhog-KPM-G104	0.839831833	0.868294758	0.445065862	0.54624243	0.516764025	0.622890108	0.460999235	0.487920834	0.485108036	0.687481061	0.515562106	0.7035522	0.458391593	0.500570307	0.478330058	0.656687619	0.58247546	0.677544977	0.411738616	0.616266372	0.558773856	0.609925585	0.569015278	0.422186605	0.584803991	0.59114836	0.554869825	0.831831012	0.511729929	0.726638418	0.570819129	0.52150914	0.585932228	0.448001621	0.665259678	0.620933858	0.620304045	0.630681367	0.64378364	0.449896408	0.587476641	0.648114493	0.505992514	0.498941584	0.688251278	0.616070589	0.814698197	0.507062154	0	0.826572942	0.558536835	0.770428277	0.847693214	0.822818118	0.862348053
Kohl-LQ-Groundhog-KPM-G105	0.942973809	0.948459157	0.808064923	0.81560077	0.788920927	0.836804625	0.802512076	0.792442474	0.842779466	0.883971512	0.816360477	0.854563681	0.821842245	0.819264418	0.826042317	0.823347242	0.834353397	0.871984761	0.840447487	0.820364349	0.865977513	0.8319766	0.772754037	0.815727977	0.830867958	0.80455622	0.85511368	0.795394527	0.850985518	0.866908953	0.846887681	0.795101157	0.870425411	0.815001089	0.81630464	0.825489452	0.838986281	0.805759809	0.866530164	0.83012242	0.839758344	0.832463479	0.792441267	0.834578334	0.858829835	0.835553398	0.920562708	0.845488272	0.826572942	0	0.849261014	0.913434747	0.934465696	0.922652858	0.941819614
Kohl-LQ-Groundhog-KPM-G106	0.774351604	0.825737078	0.536618614	0.495164433	0.580704437	0.619532244	0.479217271	0.579705553	0.661720591	0.684143883	0.58059165	0.742641485	0.579718381	0.445648146	0.428323225	0.715364199	0.571595725	0.665191627	0.618314224	0.653129478	0.607931904	0.573264895	0.643525573	0.62171259	0.600254511	0.534416495	0.574822011	0.757662001	0.552205213	0.361990388	0.354765663	0.628606284	0.702367436	0.576426906	0.764317242	0.459813225	0.609402295	0.644151026	0.579488872	0.482452343	0.174962764	0.567820132	0.592092531	0.487849547	0.558092275	0.635587116	0.785964042	0.479848873	0.558536835	0.849261014	0	0.74833949	0.847433057	0.822396588	0.861515406
Kohl-LQ-Groundhog-KPM-G107	0.730483534	0.715214683	0.786732554	0.754615079	0.817659696	0.721652831	0.790067942	0.798318934	0.70354359	0.763388181	0.711802526	0.714962213	0.753616957	0.764342557	0.738095965	0.864255469	0.700101886	0.510457424	0.675189302	0.764688558	0.629139807	0.734041444	0.819484675	0.766393819	0.744440608	0.76626056	0.581049854	0.911378929	0.645215952	0.807625622	0.767040077	0.780836538	0.647554355	0.762707309	0.895490613	0.779996392	0.73208081	0.763946306	0.774954186	0.714130642	0.762272966	0.814571077	0.803958831	0.743543187	0.718337003	0.726302647	0.630472272	0.729598903	0.770428277	0.913434747	0.74833949	0	0.59368828	0.621780515	0.671405543
Kohl-LQ-Groundhog-KPM-G108	0.752322764	0.736769153	0.892862272	0.842324802	0.878683521	0.827987813	0.871187425	0.868448423	0.814897703	0.825899573	0.844382634	0.806860966	0.839355064	0.891734297	0.867051727	0.931717393	0.837330298	0.705435718	0.810220393	0.845558313	0.795581114	0.845577891	0.89750555	0.825777414	0.842816385	0.887390025	0.784466846	0.931786769	0.787565969	0.909212493	0.831661919	0.874268345	0.804854687	0.840294296	0.937549965	0.894381067	0.818341096	0.876708738	0.898602118	0.850707469	0.867869591	0.878691724	0.885251789	0.829191871	0.831155161	0.830566275	0.590837828	0.808750365	0.847693214	0.934465696	0.847433057	0.59368828	0	0.449971529	0.512811367
Kohl-LQ-Groundhog-KPM-G109	0.730349268	0.729707027	0.868872802	0.824573246	0.854255221	0.797402353	0.847806597	0.8430326	0.795289055	0.796950982	0.819996167	0.834104091	0.812141474	0.869081934	0.842167913	0.911206536	0.818525624	0.712624899	0.782281745	0.815664307	0.777859859	0.815691845	0.874766646	0.797533611	0.810899883	0.865514065	0.786645485	0.934241843	0.76001155	0.889810177	0.827857273	0.842330132	0.783751603	0.812419039	0.918199145	0.871858676	0.79826624	0.852752998	0.877601666	0.826358411	0.845265302	0.861499234	0.860775025	0.821873157	0.805821833	0.795540487	0.608276025	0.782295582	0.822818118	0.922652858	0.822396588	0.621780515	0.449971529	0	0.51767014
Kohl-LQ-Groundhog-KPM-G110	0.752981159	0.740417502	0.903182369	0.859284584	0.890401276	0.85649563	0.884369364	0.881106302	0.848757528	0.842853204	0.864071886	0.842186335	0.859246649	0.898263244	0.878204676	0.930429515	0.847809264	0.755702088	0.833365183	0.867748479	0.836677956	0.866773038	0.904128914	0.848155918	0.861392072	0.896657078	0.818719999	0.93655206	0.81720865	0.912439452	0.856955519	0.885645394	0.83760798	0.858614468	0.935756754	0.899444811	0.835624873	0.886439314	0.901438623	0.865114182	0.878886333	0.897044429	0.895495239	0.858405073	0.855562999	0.852197428	0.456598415	0.833446421	0.862348053	0.941819614	0.861515406	0.671405543	0.512811367	0.51767014	0
