	Kohl-Grounhog-KPM-R001	Kohl-Grounhog-KPM-R002	Kohl-Grounhog-KPM-R003	Kohl-Grounhog-KPM-R004	Kohl-Grounhog-KPM-R005	Kohl-Grounhog-KPM-R006	Kohl-Grounhog-KPM-R007	Kohl-Grounhog-KPM-R008	Kohl-Grounhog-KPM-R009	Kohl-Grounhog-KPM-R016	Kohl-Grounhog-KPM-R017	Kohl-Grounhog-KPM-R018	Kohl-Grounhog-KPM-R019	Kohl-Grounhog-KPM-R020	Kohl-Grounhog-KPM-R021	Kohl-Grounhog-KPM-R038	Kohl-Grounhog-KPM-R039	Kohl-Grounhog-KPM-R040	Kohl-Grounhog-KPM-R041	Kohl-Grounhog-KPM-R042	Kohl-Grounhog-KPM-R043	Kohl-Grounhog-KPM-R044	Kohl-Grounhog-KPM-R045	Kohl-Grounhog-KPM-R046	Kohl-Grounhog-KPM-R047	Kohl-Grounhog-KPM-R062	Kohl-Grounhog-KPM-R063	Kohl-Grounhog-KPM-R064	Kohl-Grounhog-KPM-R065	Kohl-Grounhog-KPM-R066	Kohl-Grounhog-KPM-R067	Kohl-Grounhog-KPM-R073	Kohl-Grounhog-KPM-R074	Kohl-Grounhog-KPM-R075	Kohl-Grounhog-KPM-R076	Kohl-Grounhog-KPM-R077	Kohl-Grounhog-KPM-R078	Kohl-Grounhog-KPM-R079	Kohl-Grounhog-KPM-R080	Kohl-Grounhog-KPM-R081	Kohl-Grounhog-KPM-R086	Kohl-Grounhog-KPM-R087	Kohl-Grounhog-KPM-R088	Kohl-Grounhog-KPM-R089	Kohl-Grounhog-KPM-R090	Kohl-Grounhog-KPM-R091	Kohl-Grounhog-KPM-R092	Kohl-Grounhog-KPM-R093	Kohl-Grounhog-KPM-R094	Kohl-Grounhog-KPM-R095	Kohl-Grounhog-KPM-R096	Kohl-Grounhog-KPM-R097	Kohl-Grounhog-KPM-R105	Kohl-Grounhog-KPM-R106	Kohl-Grounhog-KPM-R107	Kohl-Grounhog-KPM-R108	Kohl-Grounhog-KPM-R114	Kohl-Grounhog-KPM-R115	Kohl-Grounhog-KPM-R116	Kohl-Grounhog-KPM-R117	Kohl-Grounhog-KPM-R118	Kohl-Grounhog-KPM-R119	Kohl-Grounhog-KPM-R120	Kohl-Grounhog-KPM-R121	Kohl-Grounhog-KPM-R122	Kohl-Grounhog-KPM-R123	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R047	0.088669278	0.086373312	0.167692339	0.154352221	0.035570825	0.074466945	0.069215567	0.073983661	0.164866504	0.214158963	0.222071445	0.213361291	0.159042118	0.155178225	0.164889106	0.171167271	0.072713512	0.074586245	0.060933289	0.072070056	0.09484832	0.053784315	0.023035114	0.15331533	0	0.168225776	0.151867245	0.079794681	0.168084612	0.118138402	0.067823361	0.042647092	0.056209129	0.227927244	0.231534251	0.047902813	0.092518762	0.210553255	0.229676466	0.182760841	0.052439155	0.082570703	0.100487508	0.052178787	0.231097003	0.049474018	0.04400422	0.18963459	0.114239618	0.081761571	0.089953545	0.226811478	0.155799223	0.172390284	0.172352149	0.172355762	0.077720783	0.150961093	0.066636665	0.090320453	0.135066189	0.120428097	0.125102847	0.225008266	0.141949252	0.137643945	0.383939348	0.36233922
Kohl-Grounhog-KPM-R062	0.248137778	0.245814854	0.002835806	0.055181911	0.158643465	0.234131057	0.228881998	0.234046546	0.279749615	0.100973549	0.108602759	0.100044483	0.295148625	0.29133905	0.300971539	0.080382182	0.228585636	0.23475574	0.221153827	0.232640635	0.119206199	0.139379933	0.159368761	0.048144048	0.168225776	0	0.046455798	0.098974865	0.007013458	0.064975695	0.114662711	0.166857257	0.157698942	0.11940238	0.118032735	0.173939551	0.12434953	0.12364128	0.11887359	0.070058994	0.156284489	0.1286356	0.16310047	0.16533073	0.11830988	0.167296528	0.183825818	0.078907639	0.163908384	0.126603781	0.140081303	0.11951586	0.294770473	0.308472717	0.308597537	0.308595731	0.215124764	0.153524703	0.207493661	0.244345986	0.252774721	0.261744346	0.266159386	0.121511742	0.284160207	0.277975917	0.388648266	0.355453053
Kohl-Grounhog-KPM-R063	0.205744999	0.202813321	0.047629742	0.037348728	0.135863401	0.195725697	0.190676791	0.204983899	0.307985388	0.142395153	0.149211808	0.14086693	0.303201543	0.299215354	0.308953837	0.072178502	0.2167982	0.208858908	0.196248297	0.214419463	0.113889102	0.115323138	0.143132654	0.034229037	0.151867245	0.046455798	0	0.073489837	0.044398164	0.066761812	0.086814519	0.182736931	0.171278027	0.159958865	0.158674614	0.187959671	0.143331194	0.13136923	0.159299575	0.09835804	0.167309807	0.136564053	0.173437729	0.174991451	0.158736756	0.186979496	0.19049435	0.088113945	0.169458108	0.135789372	0.148945429	0.159959152	0.302663309	0.316473614	0.316454079	0.316457692	0.222911863	0.194120528	0.21102134	0.235519537	0.27913719	0.265606053	0.269357005	0.16206025	0.28621031	0.282274723	0.395964975	0.365429962
Kohl-Grounhog-KPM-R064	0.151307809	0.149011843	0.098441428	0.086470787	0.073251116	0.137105476	0.131880022	0.136622192	0.236475576	0.175555327	0.183467808	0.174757655	0.231031477	0.226879398	0.236856437	0.123601148	0.144778988	0.137258025	0.123613118	0.141590491	0.046695348	0.042389915	0.070110097	0.086029783	0.079794681	0.098974865	0.073489837	0	0.098833701	0.048981542	0.017360994	0.110583333	0.098161439	0.189175267	0.192930614	0.114793499	0.070481492	0.166779773	0.191086048	0.135067562	0.094508367	0.067095579	0.100330394	0.101800841	0.192451537	0.114906932	0.117413873	0.129751926	0.097562861	0.066434387	0.078605868	0.188046755	0.23065537	0.244357615	0.244345405	0.244349017	0.150839299	0.122661104	0.138884601	0.163074647	0.206182114	0.192792461	0.196590715	0.186363592	0.213482554	0.209729014	0.381579563	0.356517224
Kohl-Grounhog-KPM-R065	0.247996614	0.24567369	0.006411719	0.055196082	0.158657637	0.233989893	0.228740834	0.233905381	0.281192798	0.098805619	0.106021736	0.097277396	0.296039505	0.292175612	0.301862419	0.081131909	0.228444472	0.234614575	0.221012663	0.232499471	0.119065034	0.139238769	0.159227597	0.049616465	0.168084612	0.007013458	0.044398164	0.098833701	0	0.062552786	0.114521547	0.168962866	0.158901901	0.11657784	0.115451711	0.17604516	0.126455139	0.123830486	0.116049049	0.072694079	0.157175369	0.128625758	0.16399135	0.165714854	0.115485339	0.169402137	0.183684654	0.079015403	0.16376722	0.127072697	0.140374684	0.11669132	0.295661352	0.309363597	0.309325462	0.309329075	0.215689735	0.150689218	0.207352496	0.244204822	0.254880329	0.261603182	0.26609209	0.118578566	0.28430631	0.278097397	0.388778692	0.35636611
Kohl-Grounhog-KPM-R066	0.198972122	0.196658439	0.065906122	0.10109789	0.120923638	0.184752073	0.179552543	0.184268789	0.25380014	0.159655657	0.167568138	0.158857985	0.246982342	0.242988827	0.252670978	0.138228251	0.178124782	0.184930546	0.171367326	0.182537777	0.068319854	0.089684038	0.109270687	0.100656886	0.118138402	0.064975695	0.066761812	0.048981542	0.062552786	0	0.065014916	0.127266628	0.11558575	0.173395997	0.177030945	0.132164455	0.088140061	0.140637681	0.175188438	0.115161852	0.111141626	0.080443073	0.117146338	0.118927238	0.176568439	0.131855613	0.134267846	0.096318978	0.113676747	0.079581416	0.092716607	0.172396844	0.246469912	0.26019808	0.26018587	0.260189483	0.166679765	0.139908778	0.157111698	0.194282537	0.223987789	0.211358877	0.216359136	0.170463922	0.234956695	0.228613423	0.377906164	0.350007641
Kohl-Grounhog-KPM-R067	0.138386424	0.136080066	0.114129274	0.091857665	0.060301314	0.124173699	0.11895952	0.123690415	0.226017083	0.183277882	0.191190364	0.18248021	0.220600665	0.216643775	0.226371624	0.1288626	0.134104193	0.12626937	0.113640103	0.131632048	0.053631084	0.030783918	0.059672182	0.09141666	0.067823361	0.114662711	0.086814519	0.017360994	0.114521547	0.065014916	0	0.098037918	0.088677148	0.19702154	0.20065317	0.104391954	0.062313032	0.172916356	0.198579182	0.14173636	0.083488514	0.062713288	0.095496196	0.091126715	0.200072444	0.102935612	0.1064611	0.144407239	0.09267446	0.061979194	0.070497665	0.195802971	0.216078339	0.233891401	0.233871866	0.233875479	0.139854991	0.120014352	0.127962518	0.15244191	0.196528995	0.182588609	0.18674881	0.194086147	0.203609431	0.199517367	0.382052111	0.359074203
Kohl-Grounhog-KPM-R073	0.111406389	0.109339073	0.167976508	0.178876463	0.063688351	0.099654825	0.095174754	0.10006948	0.152078684	0.205622088	0.212413102	0.205953126	0.151124314	0.146966826	0.157721155	0.195239328	0.096032336	0.100833233	0.088168077	0.097776745	0.112725641	0.079955319	0.051327789	0.175820495	0.042647092	0.166857257	0.182736931	0.110583333	0.168962866	0.127266628	0.098037918	0	0.022719385	0.215689723	0.21942555	0.022985923	0.053943589	0.201848796	0.217419692	0.153705845	0.046583513	0.0691431	0.073748469	0.034318555	0.218943319	0.032065275	0.040098147	0.158725507	0.091684572	0.06026914	0.076723701	0.214416096	0.15075771	0.166640235	0.166819372	0.16681576	0.07286513	0.138964164	0.061348932	0.102343138	0.121712393	0.11955165	0.121073997	0.213119973	0.142049143	0.135396132	0.377938886	0.354851343
Kohl-Grounhog-KPM-R074	0.124938967	0.122871651	0.157870467	0.168725346	0.056465254	0.113187403	0.108707332	0.113602058	0.167612621	0.200792586	0.2075836	0.201123625	0.165595737	0.161106163	0.172382874	0.189362707	0.109766171	0.114365811	0.101236306	0.111008756	0.101511333	0.066919455	0.043968931	0.165669378	0.056209129	0.157698942	0.171278027	0.098161439	0.158901901	0.11558575	0.088677148	0.022719385	0	0.211057171	0.214803265	0.035183285	0.045582298	0.195417057	0.213044804	0.147342356	0.03399086	0.054315827	0.05949844	0.028092792	0.214405688	0.039792544	0.051655105	0.143756238	0.076985693	0.047116109	0.063790654	0.209876415	0.167599709	0.181301954	0.181263819	0.181267432	0.087637333	0.134287561	0.075293084	0.115743707	0.136235379	0.130813657	0.133755424	0.208334734	0.155008442	0.148139759	0.376032719	0.353611587
Kohl-Grounhog-KPM-R075	0.267122882	0.265539102	0.118130052	0.135758776	0.210186855	0.260649705	0.257792813	0.263350105	0.280227622	0.018428831	0.010799621	0.019357897	0.306009197	0.303750483	0.309901438	0.130731916	0.265274297	0.264580059	0.256385473	0.2643836	0.190843283	0.203878792	0.221287264	0.132187677	0.227927244	0.11940238	0.159958865	0.189175267	0.11657784	0.173395997	0.19702154	0.215689723	0.211057171	0	0.004045335	0.221674634	0.184839383	0.164612082	0.002204799	0.129853728	0.206498286	0.193059468	0.225484947	0.21961673	0.003616859	0.211967614	0.233202579	0.155614547	0.229227849	0.19945687	0.200829267	0.001987143	0.304263288	0.315072222	0.3151938	0.315190187	0.249481291	0.077566905	0.24450596	0.271761857	0.266534533	0.283221167	0.285670954	0.004030459	0.296772141	0.295136203	0.396381357	0.363470854
