	Kohl-Grounhog-KPM-R001	Kohl-Grounhog-KPM-R002	Kohl-Grounhog-KPM-R003	Kohl-Grounhog-KPM-R004	Kohl-Grounhog-KPM-R005	Kohl-Grounhog-KPM-R006	Kohl-Grounhog-KPM-R007	Kohl-Grounhog-KPM-R008	Kohl-Grounhog-KPM-R009	Kohl-Grounhog-KPM-R016	Kohl-Grounhog-KPM-R017	Kohl-Grounhog-KPM-R018	Kohl-Grounhog-KPM-R019	Kohl-Grounhog-KPM-R020	Kohl-Grounhog-KPM-R021	Kohl-Grounhog-KPM-R038	Kohl-Grounhog-KPM-R039	Kohl-Grounhog-KPM-R040	Kohl-Grounhog-KPM-R041	Kohl-Grounhog-KPM-R042	Kohl-Grounhog-KPM-R043	Kohl-Grounhog-KPM-R044	Kohl-Grounhog-KPM-R045	Kohl-Grounhog-KPM-R046	Kohl-Grounhog-KPM-R047	Kohl-Grounhog-KPM-R062	Kohl-Grounhog-KPM-R063	Kohl-Grounhog-KPM-R064	Kohl-Grounhog-KPM-R065	Kohl-Grounhog-KPM-R066	Kohl-Grounhog-KPM-R067	Kohl-Grounhog-KPM-R073	Kohl-Grounhog-KPM-R074	Kohl-Grounhog-KPM-R075	Kohl-Grounhog-KPM-R076	Kohl-Grounhog-KPM-R077	Kohl-Grounhog-KPM-R078	Kohl-Grounhog-KPM-R079	Kohl-Grounhog-KPM-R080	Kohl-Grounhog-KPM-R081	Kohl-Grounhog-KPM-R086	Kohl-Grounhog-KPM-R087	Kohl-Grounhog-KPM-R088	Kohl-Grounhog-KPM-R089	Kohl-Grounhog-KPM-R090	Kohl-Grounhog-KPM-R091	Kohl-Grounhog-KPM-R092	Kohl-Grounhog-KPM-R093	Kohl-Grounhog-KPM-R094	Kohl-Grounhog-KPM-R095	Kohl-Grounhog-KPM-R096	Kohl-Grounhog-KPM-R097	Kohl-Grounhog-KPM-R105	Kohl-Grounhog-KPM-R106	Kohl-Grounhog-KPM-R107	Kohl-Grounhog-KPM-R108	Kohl-Grounhog-KPM-R114	Kohl-Grounhog-KPM-R115	Kohl-Grounhog-KPM-R116	Kohl-Grounhog-KPM-R117	Kohl-Grounhog-KPM-R118	Kohl-Grounhog-KPM-R119	Kohl-Grounhog-KPM-R120	Kohl-Grounhog-KPM-R121	Kohl-Grounhog-KPM-R122	Kohl-Grounhog-KPM-R123	Kohl-LQ-Groundhog-KPM-G002	Kohl-LQ-Groundhog-KPM-G003
Kohl-Grounhog-KPM-R020	0.411907184	0.417595629	0.42510208	0.402514862	0.402514862	0.408058086	0.434375307	0.418621936	0.524515804	0.472807433	0.472807433	0.472807436	0.363867932	0	0.49716932	0.464514822	0.346130923	0.422671371	0.347780935	0.457851962	0.404491874	0.393938718	0.347525578	0.42005839	0.383616369	0.51752156	0.50635408	0.507706301	0.426428413	0.424981796	0.411175791	0.485046014	0.429254099	0.578160326	0.519963365	0.448261372	0.707712805	0.491964156	0.450386006	0.498406201	0.469539099	0.473859466	0.635321708	0.487563491	0.412421269	0.53023057	0.554711957	0.677849382	0.601802571	0.487076685	0.498353782	0.552326887	0.457829476	0.45723082	0.431919926	0.434376039	0.399358764	0.5246755	0.521142652	0.579103478	0.538119183	0.578276618	0.561230592	0.446367685	0.59236379	0.52395447	0.942884612	0.948822243
Kohl-Grounhog-KPM-R021	0.29411763	0.233941693	0.345368633	0.307770778	0.307770778	0.218299581	0.360433515	0.234839078	0.652618515	0.22382599	0.22382599	0.223825998	0.271249826	0.49716932	0	0.605584725	0.320824501	0.341384633	0.277654031	0.494663834	0.358385821	0.442257356	0.385605599	0.337085412	0.318655062	0.478151189	0.507058669	0.507527751	0.347536331	0.270109449	0.358939316	0.377636247	0.453993627	0.440950733	0.257614075	0.363447775	0.681688282	0.386982741	0.259201702	0.443073462	0.466183692	0.569604704	0.63600521	0.538873806	0.263099431	0.395615474	0.628282612	0.673307575	0.663857512	0.522111493	0.568039882	0.633971474	0.195274358	0.185610237	0.307587979	0.304994939	0.343297791	0.478204483	0.549511769	0.615893795	0.567763538	0.614974718	0.583356446	0.522322332	0.628185063	0.584153909	0.960906632	0.96584619
Kohl-Grounhog-KPM-R038	0.462649674	0.510081535	0.416782776	0.451094496	0.451094496	0.512396179	0.515200546	0.508037421	0.63436144	0.51570615	0.51570615	0.515706153	0.596585765	0.464514822	0.605584725	0	0.497598299	0.471873435	0.495158852	0.362950782	0.554410474	0.522935276	0.52918496	0.446872631	0.496658704	0.500665083	0.59796107	0.588957881	0.414683982	0.520559049	0.510846221	0.58464449	0.544093319	0.625221556	0.556788537	0.595298431	0.734033159	0.604053144	0.572213495	0.624049427	0.616258618	0.5187757	0.706957104	0.592919141	0.56085784	0.582685919	0.64119933	0.749078762	0.675929838	0.594244232	0.581894694	0.652569048	0.589065845	0.540708289	0.51929019	0.521368554	0.507479732	0.549629959	0.59943561	0.664174537	0.662316515	0.641706222	0.620809157	0.556625251	0.650718152	0.62132491	0.92777386	0.937671205
Kohl-Grounhog-KPM-R039	0.124774522	0.128591388	0.160853272	0.11184474	0.11184474	0.135887399	0.180465059	0.122103333	0.518244802	0.215408939	0.215408939	0.215408947	0.257275757	0.346130923	0.320824501	0.497598299	0	0.155664409	0.121509887	0.272084637	0.164836243	0.202420777	0.123345862	0.150063864	0.081538091	0.295752881	0.302077179	0.371202195	0.163676115	0.161196187	0.127841301	0.301474159	0.335081222	0.470418007	0.285588463	0.328184805	0.673397321	0.341938911	0.240712136	0.395424295	0.44349248	0.420939437	0.613502609	0.414437615	0.217624818	0.353668784	0.529032484	0.662621921	0.574485824	0.412036486	0.451876232	0.59819671	0.16952152	0.180403796	0.142183658	0.145892459	0.116059529	0.353159757	0.392989282	0.513184472	0.563803683	0.512008379	0.492120127	0.390311016	0.528907735	0.472537247	0.951564761	0.957619045
Kohl-Grounhog-KPM-R040	0.152300016	0.156975048	0.114990168	0.139679642	0.139679642	0.163805369	0.204222504	0.150904242	0.567928281	0.240084016	0.240084016	0.240084023	0.360235341	0.422671371	0.341384633	0.471873435	0.155664409	0	0.148751562	0.369402368	0.280195681	0.304797873	0.241217321	0.175589149	0.153007225	0.250993257	0.261121178	0.38528298	0.117991562	0.187527657	0.09708347	0.403805534	0.350805971	0.48210582	0.308056421	0.419465789	0.677753023	0.438280733	0.361179527	0.480569164	0.481189549	0.48524856	0.634623292	0.449357543	0.341194748	0.399540243	0.554092696	0.684354596	0.596032725	0.447864781	0.483418267	0.647051331	0.309384639	0.207292058	0.170325798	0.173912924	0.183204979	0.36831867	0.46176904	0.539523048	0.571538383	0.53844292	0.501345863	0.403558005	0.553977903	0.502280038	0.945921839	0.95768878
Kohl-Grounhog-KPM-R041	0.117206244	0.120775603	0.154025473	0.10419249	0.10419249	0.128202521	0.173953915	0.1141702	0.549580007	0.208624397	0.208624397	0.208624405	0.259095319	0.347780935	0.277654031	0.495158852	0.121509887	0.148751562	0	0.334340599	0.233027114	0.263122631	0.192458515	0.143058626	0.118633014	0.290022706	0.378586875	0.351757548	0.156894361	0.147876303	0.232020786	0.35133157	0.260570271	0.42786128	0.279410779	0.354355208	0.652052407	0.376537429	0.28330382	0.417397289	0.451534166	0.422571075	0.591541472	0.387386294	0.277208273	0.372571236	0.503643639	0.639474082	0.552425032	0.384259409	0.420398528	0.609606896	0.281448308	0.172997497	0.134431982	0.138174297	0.151284334	0.349035241	0.426188625	0.492457482	0.523260264	0.491210344	0.441639991	0.386714712	0.517490579	0.442744505	0.951541771	0.957600595
Kohl-Grounhog-KPM-R042	0.302009145	0.364410222	0.321827217	0.291684269	0.291684269	0.3683005	0.383339674	0.360965529	0.557526242	0.370926819	0.370926819	0.370926824	0.413441141	0.457851962	0.494663834	0.362950782	0.272084637	0.369402368	0.334340599	0	0.304249594	0.317987515	0.271019947	0.315122191	0.324247203	0.425863952	0.454358968	0.450178992	0.323587974	0.327040684	0.348622494	0.413844322	0.416183993	0.530022294	0.424290759	0.376534685	0.689112277	0.433303785	0.366953877	0.47014858	0.509225844	0.446055767	0.614876403	0.473255689	0.353515147	0.456474619	0.562768168	0.679055899	0.599881667	0.472448033	0.501882342	0.621596578	0.395481956	0.403403332	0.375582306	0.378281997	0.343121783	0.449741388	0.472008808	0.582580677	0.59977887	0.553901704	0.539375686	0.474386028	0.537981442	0.517932958	0.945203309	0.951708351
Kohl-Grounhog-KPM-R043	0.233012098	0.180344019	0.28419782	0.246584836	0.246584836	0.18680236	0.299366959	0.174606263	0.559327382	0.340167753	0.340167753	0.340167759	0.33736054	0.404491874	0.358385821	0.554410474	0.164836243	0.280195681	0.233027114	0.304249594	0	0.282927682	0.086111669	0.275881298	0.193013706	0.406246001	0.344189803	0.393026007	0.286377042	0.130788041	0.210210427	0.403442153	0.398723916	0.528811449	0.403287372	0.333524118	0.701298681	0.425929114	0.324318947	0.426569464	0.480996534	0.415976797	0.611248789	0.432222113	0.331497299	0.424837209	0.553254127	0.6775023	0.5949239	0.448034804	0.476952148	0.623384286	0.231893449	0.31380862	0.279586939	0.282907736	0.209463515	0.412092917	0.457287464	0.532968749	0.606271264	0.531879297	0.539397143	0.466017852	0.525528735	0.50187441	0.953736986	0.960430141
Kohl-Grounhog-KPM-R044	0.224555905	0.294303496	0.25033105	0.213324051	0.213324051	0.29909608	0.142689079	0.290054441	0.522940904	0.301121096	0.301121096	0.301121102	0.328996248	0.393938718	0.442257356	0.522935276	0.202420777	0.304797873	0.263122631	0.317987515	0.282927682	0	0.217451285	0.242129203	0.251650947	0.365335827	0.408415679	0.427791889	0.252482043	0.301387712	0.291637344	0.367316357	0.341284057	0.491658845	0.360406618	0.3312649	0.667639328	0.3772215	0.309843398	0.42516472	0.457558923	0.41927876	0.599969809	0.413241031	0.27961076	0.406696446	0.52027245	0.644450652	0.563711919	0.411017037	0.447823902	0.590142982	0.338668915	0.337201397	0.306293184	0.309292449	0.274729512	0.40270957	0.432349174	0.548882412	0.562575783	0.51741714	0.49952565	0.432433667	0.527824299	0.467067537	0.945039099	0.951599502
Kohl-Grounhog-KPM-R045	0.217870954	0.218470887	0.245410538	0.206013005	0.206013005	0.230112267	0.2613065	0.219189399	0.52612667	0.298864722	0.298864722	0.298864729	0.264422938	0.347525578	0.385605599	0.52918496	0.123345862	0.241217321	0.192458515	0.271019947	0.086111669	0.217451285	0	0.236697272	0.151903899	0.366716884	0.355976891	0.349487476	0.247693925	0.177737991	0.227254161	0.368628796	0.341336693	0.49800899	0.361579354	0.267559879	0.676128249	0.378986361	0.308184995	0.382082326	0.445285073	0.374115941	0.574284794	0.399836386	0.276243194	0.390223676	0.513762932	0.642959701	0.5594135	0.397182999	0.436874506	0.586688954	0.273102138	0.271042449	0.237049053	0.240347698	0.180912663	0.405460999	0.435893544	0.500301984	0.572895576	0.499134146	0.50510256	0.436212437	0.493389418	0.457389931	0.951881723	0.957873559
