	shannon_entropy
Kohl-Grounhog-KPM-R119	1.2446895442441526
Kohl-Grounhog-KPM-R120	1.0303222971327677
Kohl-Grounhog-KPM-R121	0.3127972389534741
Kohl-Grounhog-KPM-R122	0.9947863671850377
Kohl-Grounhog-KPM-R123	1.0514911167776833
Kohl-LQ-Groundhog-KPM-G002	7.25225779372449
Kohl-LQ-Groundhog-KPM-G003	7.418162290790592
Kohl-LQ-Groundhog-KPM-G004	2.343755677994377
Kohl-LQ-Groundhog-KPM-G005	1.8596216745454304
Kohl-LQ-Groundhog-KPM-G006	2.5605443627863314
Kohl-LQ-Groundhog-KPM-G007	1.858331736167923
Kohl-LQ-Groundhog-KPM-G008	1.6261240022136048
Kohl-LQ-Groundhog-KPM-G009	2.7892315563885903
Kohl-LQ-Groundhog-KPM-G010	2.6045221544955734
Kohl-LQ-Groundhog-KPM-G011	1.8939790553766611
Kohl-LQ-Groundhog-KPM-G013	2.569840291092944
Kohl-LQ-Groundhog-KPM-G014	2.0223832231332843
Kohl-LQ-Groundhog-KPM-G015	1.6200194522563456
Kohl-LQ-Groundhog-KPM-G016	2.6070545108361705
Kohl-LQ-Groundhog-KPM-G017	1.4239818328029243
Kohl-LQ-Groundhog-KPM-G018	1.3813716722454292
Kohl-LQ-Groundhog-KPM-G019	1.3045278252711525
Kohl-LQ-Groundhog-KPM-G020	3.316553952105629
Kohl-LQ-Groundhog-KPM-G021	3.321920746581508
Kohl-LQ-Groundhog-KPM-G022	2.177403686427712
Kohl-LQ-Groundhog-KPM-G023	3.058351514348887
Kohl-LQ-Groundhog-KPM-G025	1.1913628001341852
Kohl-LQ-Groundhog-KPM-G026	2.635726810511168
Kohl-LQ-Groundhog-KPM-G027	2.6082845920403233
Kohl-LQ-Groundhog-KPM-G028	1.4115379182105756
Kohl-LQ-Groundhog-KPM-G029	2.057253918510337
Kohl-LQ-Groundhog-KPM-G030	2.1440825234830254
Kohl-LQ-Groundhog-KPM-G031	2.075954405201628
Kohl-LQ-Groundhog-KPM-G032	1.9815499950032653
Kohl-LQ-Groundhog-KPM-G033	2.7506872238210014
Kohl-LQ-Groundhog-KPM-G034	1.8617955126941172
Kohl-LQ-Groundhog-KPM-G035	2.663451619650432
Kohl-LQ-Groundhog-KPM-G036	1.4170512233631454
Kohl-LQ-Groundhog-KPM-G037	1.4936733989927033
Kohl-LQ-Groundhog-KPM-G038	1.4162702147473571
Kohl-LQ-Groundhog-KPM-G039	2.376627425618089
Kohl-LQ-Groundhog-KPM-G040	1.7863316078281337
Kohl-LQ-Groundhog-KPM-G041	2.3070420650580012
Kohl-LQ-Groundhog-KPM-G042	1.9883678686392983
Kohl-LQ-Groundhog-KPM-G043	1.2428456484185086
Kohl-LQ-Groundhog-KPM-G044	2.883855901814163
Kohl-LQ-Groundhog-KPM-G045	2.2487635026097403
Kohl-LQ-Groundhog-KPM-G046	2.0633355048702717
Kohl-LQ-Groundhog-KPM-G047	2.276845781030228
Kohl-LQ-Groundhog-KPM-G048	2.0620282091806987
Kohl-LQ-Groundhog-KPM-G049	1.0479168218818646
Kohl-LQ-Groundhog-KPM-G050	2.0678298143482947
Kohl-LQ-Groundhog-KPM-G051	2.2619350523858435
Kohl-LQ-Groundhog-KPM-G052	2.533146752277836
Kohl-LQ-Groundhog-KPM-G053	2.709529854189995
Kohl-LQ-Groundhog-KPM-G054	1.8044335112205911
Kohl-LQ-Groundhog-KPM-G055	1.1197954646874095
Kohl-LQ-Groundhog-KPM-G056	2.5320584305966376
Kohl-LQ-Groundhog-KPM-G057	1.8313994349782403
Kohl-LQ-Groundhog-KPM-G058	2.5983414345527396
Kohl-LQ-Groundhog-KPM-G059	2.8987154958463175
Kohl-LQ-Groundhog-KPM-G060	7.4683381709766525
Kohl-LQ-Groundhog-KPM-G061	7.706293739860274
Kohl-LQ-Groundhog-KPM-G062	2.1855298354870643
Kohl-LQ-Groundhog-KPM-G063	2.245552998915936
Kohl-LQ-Groundhog-KPM-G064	0.9788471681431653
Kohl-LQ-Groundhog-KPM-G065	7.7909409306278965
Kohl-LQ-Groundhog-KPM-G066	2.1188545282531286
Kohl-LQ-Groundhog-KPM-G067	1.379314053763605
Kohl-LQ-Groundhog-KPM-G068	2.237156665967107
Kohl-LQ-Groundhog-KPM-G069	1.7107458168110883
Kohl-LQ-Groundhog-KPM-G070	0.9549779464307042
Kohl-LQ-Groundhog-KPM-G071	1.774210721356263
Kohl-LQ-Groundhog-KPM-G072	2.2717074902506216
Kohl-LQ-Groundhog-KPM-G073	1.2506637358505537
Kohl-LQ-Groundhog-KPM-G074	2.5580706621427307
Kohl-LQ-Groundhog-KPM-G075	1.6339778391490318
Kohl-LQ-Groundhog-KPM-G076	2.3358924707477864
Kohl-LQ-Groundhog-KPM-G077	2.638484306414761
Kohl-LQ-Groundhog-KPM-G078	1.492086928902184
Kohl-LQ-Groundhog-KPM-G079	1.707769002269608
Kohl-LQ-Groundhog-KPM-G080	2.8544183948149087
Kohl-LQ-Groundhog-KPM-G081	7.548092955173547
Kohl-LQ-Groundhog-KPM-G082	7.834143031133903
Kohl-LQ-Groundhog-KPM-G083	7.824233577749615
Kohl-LQ-Groundhog-KPM-G084	2.5981251292246847
Kohl-LQ-Groundhog-KPM-G085	1.191661898007651
Kohl-LQ-Groundhog-KPM-G086	2.1687429382166026
Kohl-LQ-Groundhog-KPM-G087	1.9750730953108973
Kohl-LQ-Groundhog-KPM-G088	1.9917017341880134
Kohl-LQ-Groundhog-KPM-G089	2.6317802496144087
Kohl-LQ-Groundhog-KPM-G090	3.166454294809072
Kohl-LQ-Groundhog-KPM-G091	1.163396963270422
Kohl-LQ-Groundhog-KPM-G092	2.6775970658445325
Kohl-LQ-Groundhog-KPM-G093	2.424982181516781
Kohl-LQ-Groundhog-KPM-G094	1.487232548886726
Kohl-LQ-Groundhog-KPM-G095	1.8668674846947837
Kohl-LQ-Groundhog-KPM-G096	1.5818622893342447
Kohl-LQ-Groundhog-KPM-G097	1.720386729817127
Kohl-LQ-Groundhog-KPM-G098	2.841542440051018
Kohl-LQ-Groundhog-KPM-G099	7.580675296159524
Kohl-LQ-Groundhog-KPM-G100	7.715546802061046
Kohl-LQ-Groundhog-KPM-G101	7.598311210283821
Kohl-LQ-Groundhog-KPM-G102	4.877210486955951
Kohl-LQ-Groundhog-KPM-G103	2.4875407576057027
Kohl-LQ-Groundhog-KPM-G104	3.1837212530429198
Kohl-LQ-Groundhog-KPM-G105	1.2886391459347952
Kohl-LQ-Groundhog-KPM-G106	3.035616428072959
Kohl-LQ-Groundhog-KPM-G107	2.3298696205762184
Kohl-LQ-Groundhog-KPM-G108	5.683210993127534
Kohl-LQ-Groundhog-KPM-G109	6.1736318742244745
Kohl-LQ-Groundhog-KPM-G110	6.077732254309952
